NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
40,2,5.5,6,0.985085039,41460.2102,0.99067414,40574.805
40,2,5.5,7,0.988882545,49246.4419,0.9950514,49019.2
40,2,5.5,8,0.991161075,57016.2474,0.9971035,58519.688
40,2,6,1,0.746203745,6716.78392,0.7715029,8306.263
40,2,6,2,0.857688041,11353.3053,0.84784114,14157.435
40,2,6,3,0.928557368,19231.0639,0.914849,20332.951
40,2,6,4,0.96248025,27084.909,0.95800555,27065.168
40,2,6,5,0.977134426,35054.1669,0.9801418,34224.086
40,2,6,6,0.984170899,43025.4455,0.9902736,41973.65
40,2,6,7,0.988022291,50979.6228,0.99481535,50684.04
40,2,6,8,0.990347549,58916.3822,0.9969519,60588.094
40,3,3.5,1,0.781006423,7191.37979,0.7979075,5471.8027
40,3,3.5,2,0.88225737,10073.3488,0.8759303,10954.907
40,3,3.5,3,0.941814057,14307.5428,0.9359125,16596.37
40,3,3.5,4,0.970445448,21255.6729,0.9700187,22708.879
40,3,3.5,5,0.982990208,27971.4501,0.9861518,29352.338
40,3,3.5,6,0.988886191,34880.8598,0.99325264,36535.695
40,3,3.5,7,0.992034412,41847.2972,0.99639785,44140.22
40,3,3.5,8,0.993882548,48824.4153,0.9978801,52246.992
40,3,4,1,0.780272945,7373.79699,0.7966345,6479.4937
40,3,4,2,0.883727741,10572.0049,0.87416494,12011.197
40,3,4,3,0.943064734,15401.8232,0.9345086,17696.488
40,3,4,4,0.97067446,22979.3961,0.9691982,23897.168
40,3,4,5,0.982685197,30017.4797,0.9857229,30603.072
40,3,4,6,0.988445707,37186.3961,0.99302405,37849.37
40,3,4,7,0.99154984,44389.9047,0.99626523,45603.7
40,3,4,8,0.993411862,51590.3447,0.9977954,54032.836
40,3,4.5,1,0.779266333,7547.35303,0.7951721,7464.177
40,3,4.5,2,0.88440204,11065.0073,0.87220323,13022.659
40,3,4.5,3,0.943239981,17634.7892,0.9329401,18784.375
40,3,4.5,4,0.970302788,24521.7914,0.96827334,25072.068
40,3,4.5,5,0.982068828,31835.6028,0.985236,31862.27
40,3,4.5,6,0.987775408,39238.1326,0.99276257,39181.953
40,3,4.5,7,0.990919475,46651.574,0.99611235,47106.52
40,3,4.5,8,0.992836733,54054.2793,0.99769795,55875.195
40,3,5,1,0.778042127,7713.92168,0.79353154,8388.283
40,3,5,2,0.884452276,11565.4847,0.870056,13995.1875
40,3,5,3,0.943029464,18633.7271,0.93120956,19857.453
40,3,5,4,0.969542944,25920.5207,0.9672424,26245.584
40,3,5,5,0.981208137,33481.1686,0.9846883,33126.242
40,3,5,6,0.986964311,41087.6809,0.99246615,40539.156
40,3,5,7,0.990176884,48692.3436,0.9959381,48666.273
40,3,5,8,0.992153686,56284.3244,0.99758625,57793.21
40,3,5.5,1,0.776649171,7875.21951,0.7917264,9198.44
40,3,5.5,2,0.883991,12094.3909,0.86773664,14898.172
40,3,5.5,3,0.942273762,19629.7909,0.9293214,20882.959
40,3,5.5,4,0.968470451,27208.7088,0.96610355,27416.293
40,3,5.5,5,0.980148932,34978.4908,0.9840773,34397.273
40,3,5.5,6,0.986017967,42770.5153,0.9921323,41925.836
40,3,5.5,7,0.989322264,50555.27,0.9957403,50292.242
40,3,5.5,8,0.991379878,58324.1697,0.9974591,59795.98
40,3,6,1,0.775120387,8032.4278,0.78977233,9871.909
40,3,6,2,0.883126823,12721.2619,0.8652604,15693.773
40,3,6,3,0.94114074,20567.576,0.92728156,21842.615
40,3,6,4,0.96715827,28398.4237,0.9648557,28537.807
40,3,6,5,0.978967715,36351.9009,0.98339957,35644.957
40,3,6,6,0.984940873,44318.764,0.99175817,43342.043
40,3,6,7,0.988367752,52271.2111,0.99551713,51984.105
40,3,6,8,0.990507987,60207.7038,0.9973148,61885.1
40,4,3.5,1,0.807405438,8592.49288,0.81770504,7008.678
40,4,3.5,2,0.90777084,11499.5899,0.8927766,12466.411
40,4,3.5,3,0.955917879,15737.2708,0.94644386,18064.635
40,4,3.5,4,0.976387914,22664.6247,0.9753162,24138.416
40,4,3.5,5,0.985564764,29368.2344,0.9885734,30703.234
