NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
20,11.5,6.5,10,0.90616326,87875.6786,0.9977247,97710.516
20,12,3,0.5,0.694234104,18869.4565,0.88307875,15250.674
20,12,3,8.5,0.931853413,59844.7447,0.9979021,65201.727
20,12,3,9,0.934288034,63170.707,0.9982239,69531.74
20,12,3,9.5,0.936463087,66492.8093,0.99849415,74100.99
20,12,3,10,0.938414898,69812.771,0.99872243,78884.3
20,12,3.25,0.5,0.693069146,18812.286,0.88143957,15752.049
20,12,3.25,8.5,0.929551491,61557.5099,0.9978264,66179.08
20,12,3.25,9.5,0.934192774,68333.2193,0.99844044,75304.83
20,12,3.25,10,0.936157795,71720.7337,0.99867713,80194.02
20,12,6.25,0.5,0.676445777,18263.1337,0.85870934,19933.355
20,12,6.25,8.5,0.901789711,75619.4075,0.99649495,79111.22
20,12,6.25,9,0.904334378,79595.2319,0.9970416,84806.42
20,12,6.25,9.5,0.906517457,83568.0683,0.99749935,90725.195
20,12,6.25,10,0.908287435,87534.8754,0.9978841,96887.85
20,12,6.5,0.5,0.674991538,18224.3521,0.8566259,20126.47
20,12,6.5,8.5,0.899428244,76479.6458,0.9963396,80265.04
20,12,6.5,9,0.901860079,80495.0943,0.99691105,86046.67
20,12,6.5,9.5,0.903777693,84504.9708,0.99738944,92070.86
20,12,6.5,10,0.905542082,88513.0205,0.9977913,98338.25
20,12.5,3,8.5,0.931296207,60545.1373,0.9979698,65847.86
20,12.5,3,9,0.933774995,63871.3783,0.9982818,70176.37
20,12.5,3,9.5,0.93598563,67193.8006,0.9985439,74754.39
20,12.5,3,10,0.937975141,70514.0758,0.9987652,79541.555
20,12.5,3.25,0.5,0.692721638,19513.5013,0.88729304,16483.873
20,12.5,3.25,8.5,0.928974866,62252.5533,0.9978957,66820.36
20,12.5,3.25,9,0.931470782,65643.1947,0.9982195,71253.73
20,12.5,3.25,9.5,0.933697186,69029.1708,0.99849147,75955.5
20,12.5,3.25,10,0.935691709,72417.0125,0.998721,80850.234
20,12.5,6.25,0.5,0.676110644,18909.8832,0.86441296,20573.166
20,12.5,6.25,8.5,0.901067212,76260.047,0.9965933,79735.766
20,12.5,6.25,9,0.903654371,80235.9362,0.9971259,85426.93
20,12.5,6.25,9.5,0.905882761,84209.016,0.99757206,91346.73
20,12.5,6.25,10,0.907728592,88175.9739,0.99794656,97515.664
20,12.5,6.5,0.5,0.674653825,18867.2671,0.8623098,20764.732
20,12.5,6.5,8.5,0.898700776,77116.4815,0.996441,80890.88
20,12.5,6.5,9,0.901183161,81132.1209,0.996998,86667.9
20,12.5,6.5,9.5,0.903184092,85141.7923,0.99746436,92691.2
20,12.5,6.5,10,0.904895854,89148.3731,0.99785584,98964.516
25,0.5,3,0.5,0.615440989,2616.45061,0.7082149,-1881.7168
25,0.5,3,8.5,0.955431336,44185.5661,0.99559295,51272.477
25,0.5,3,9,0.958718934,47529.3405,0.9963778,55488.668
25,0.5,3,9.5,0.961514312,50868.94,0.9969904,59919.938
25,0.5,3,10,0.963885988,54203.1166,0.9974791,64619.445
25,0.5,3.25,0.5,0.616343327,2689.14531,0.7085469,-1450.3784
25,0.5,3.25,8.5,0.955937733,46010.3188,0.995512,52178.836
25,0.5,3.25,9,0.958980397,49412.4953,0.9963093,56489.695
25,0.5,3.25,9.5,0.961586458,52813.4392,0.996932,61025.75
25,0.5,3.25,10,0.963842545,56209.7588,0.99742925,65821.516
25,0.5,6.25,0.5,0.621688387,3391.6991,0.7078563,3323.5073
25,0.5,6.25,8.5,0.947128568,61183.9863,0.9940084,64566.555
25,0.5,6.25,9,0.949239321,65165.594,0.99503726,70196.56
25,0.5,6.25,9.5,0.951375696,69143.4989,0.9958501,75916.9
25,0.5,6.25,10,0.953183604,73119.3648,0.9965054,81821.58
25,0.5,6.5,0.5,0.621849838,3441.28026,0.7074019,3576.0913
25,0.5,6.5,8.5,0.945764393,62124.2742,0.9938301,65738.19
25,0.5,6.5,9,0.948189009,66146.1244,0.99488604,71471.07
25,0.5,6.5,9.5,0.950222296,70163.884,0.99572116,77303.53
25,0.5,6.5,10,0.951973912,74178.4602,0.99639493,83328.55
25,10.5,3,0.5,0.722361455,16758.7579,0.8715278,13123.794
25,10.5,3,8.5,0.965644232,58307.827,0.99828184,63465.6
25,10.5,3,9,0.967304338,61640.604,0.9985517,67809.74
25,10.5,3,9.5,0.968768622,64971.2147,0.99877614,72370.3
25,10.5,3,10,0.970058928,68300.8738,0.998964,77158.93
25,10.5,3.25,0.5,0.721057662,16717.9565,0.8700064,13641.523
25,10.5,3.25,8.5,0.964082886,60001.7143,0.9982232,64455.65
25,10.5,3.25,9,0.965771019,63396.3073,0.99850255,68907.56
25,10.5,3.25,9.5,0.967267499,66793.2098,0.9987348,73580.625
25,10.5,3.25,10,0.968595388,70184.5253,0.9989292,78472.51
25,10.5,6.25,0.5,0.702648066,16327.8584,0.84859145,18011.35
25,10.5,6.25,8.5,0.94384459,74011.0082,0.9971884,77489.61
25,10.5,6.25,9,0.945820751,77992.8271,0.99763566,83208.375
25,10.5,6.25,9.5,0.947462723,81968.5547,0.99800664,89130.19
25,10.5,6.25,10,0.948846737,85943.275,0.99831593,95300.61
25,10.5,6.5,0.5,0.701041132,16300.3682,0.8466217,18204.275
25,10.5,6.5,8.5,0.941952163,74873.1142,0.9970673,78643.35
25,10.5,6.5,9,0.943811814,78892.3225,0.9975341,84447.914
25,10.5,6.5,9.5,0.9454344,82908.6785,0.99792117,90481.125
25,10.5,6.5,10,0.947312769,86924.0679,0.9982437,96757.6
25,11,3,0.5,0.722296412,17465.1896,0.8781767,13878.432
25,11,3,8.5,0.965342114,59009.4357,0.99834377,64107.367
25,11,3,9,0.967032483,62343.011,0.99860394,68453.375
25,11,3,9.5,0.968519179,65672.7758,0.9988203,73018.89
25,11,3,10,0.969832655,69003.0767,0.9990015,77808.36
25,11,3.25,0.5,0.721000854,17418.7158,0.87662995,14389.666
25,11,3.25,8.5,0.963754476,60695.2213,0.9982864,65096.99
25,11,3.25,9,0.965476672,64089.4638,0.99855584,69551.125
25,11,3.25,9.5,0.966989783,67490.5089,0.9987799,74230.7
25,11,3.25,10,0.96834854,70881.5545,0.9989675,79122.73
25,11,6.25,0.5,0.702568876,16974.0646,0.8548999,18671.324
25,11,6.25,8.5,0.943318416,74651.4769,0.99727523,78118.56
25,11,6.25,9,0.945332614,78633.4139,0.997709,83832.73
25,11,6.25,9.5,0.947026699,82608.7366,0.9980689,89760.05
25,11,6.25,10,0.948412195,86583.6784,0.9983689,95937.88
25,11,6.5,0.5,0.70095511,16942.7345,0.85290086,18862.549
25,11,6.5,8.5,0.941418615,75509.7531,0.9971568,79272.92
25,11,6.5,9,0.943340003,79528.5335,0.9976098,85073.73
25,11,6.5,9.5,0.944944538,83546.0245,0.9979855,91110.81
25,11,6.5,10,0.946820782,87560.0004,0.99829865,97391.71
25,11.5,3,0.5,0.722183929,18171.6293,0.88458383,14628.315
25,11.5,3,8.5,0.965008267,59710.7549,0.9984027,64754.113
25,11.5,3,9,0.966727625,63044.3838,0.99865353,69101.516
25,11.5,3,9.5,0.968244487,66374.2874,0.99886227,73672.31
25,11.5,3,10,0.969575083,69698.5339,0.99903727,78462.4
25,11.5,3.25,0.5,0.720896183,18119.4792,0.8830207,15131.792
25,11.5,3.25,8.5,0.963403679,61388.6725,0.9983467,65739.875
25,11.5,3.25,9,0.965164417,64790.7251,0.9986067,70196.54
25,11.5,3.25,9.5,0.966693897,68183.5857,0.998823,74884.72
25,11.5,3.25,10,0.968081943,71571.3011,0.9990042,79778.55
25,11.5,6.25,0.5,0.702451715,17620.2818,0.86107236,19324.277
25,11.5,6.25,8.5,0.942772897,75291.9217,0.9973588,78745.914
25,11.5,6.25,9,0.944826892,79273.9378,0.9977797,84455.81
25,11.5,6.25,9.5,0.946569172,83249.1729,0.998129,90387.125
25,11.5,6.25,10,0.947964966,87223.9373,0.9984201,96571.234
25,11.5,6.5,0.5,0.700831953,17585.1119,0.85905045,19513.943
25,11.5,6.5,8.5,0.940866627,76146.3421,0.99724305,79900.805
25,11.5,6.5,9,0.942844832,80164.6794,0.99768275,85698.1
25,11.5,6.5,9.5,0.944452426,84182.5773,0.9980475,91737.39
25,11.5,6.5,10,0.946325749,88196.7206,0.99835145,98022.414
25,12,3,0.5,0.722033912,18878.0792,0.89074373,15373.856
25,12,3,8.5,0.964646576,60412.0027,0.998459,65401.176
25,12,3,9,0.9663966,63745.6081,0.998701,69749.95
25,12,3,9.5,0.967944424,67075.8681,0.9989026,74327.84
25,12,3,10,0.969304726,70407.4943,0.9990717,79120.164
25,12,3.25,0.5,0.720755268,18820.2511,0.88917255,15869.013
25,12,3.25,8.5,0.96301862,62086.5544,0.9984043,66382.016
25,12,3.25,9,0.964804991,65484.0098,0.9986552,70839.67
25,12,3.25,9.5,0.966385662,68879.1445,0.9988642,75538.016
25,12,3.25,10,0.967791818,72267.3456,0.9990393,80435.38
25,12,6.25,0.5,0.702304103,18266.51,0.8670989,19971.113
25,12,6.25,8.5,0.942210619,75932.2898,0.9974394,79372.14
25,12,6.25,9,0.944304766,79914.394,0.9978479,85078.14
25,12,6.25,9.5,0.946093107,83889.7472,0.99818695,91011.8
25,12,6.25,10,0.947520533,87865.9317,0.99846965,97201.24
25,12,6.5,0.5,0.700679107,18227.5006,0.8650605,20159.379
25,12,6.5,8.5,0.940297513,76782.8754,0.9973262,80528.09
25,12,6.5,9,0.942329529,80801.134,0.99775314,86321.516
25,12,6.5,9.5,0.943950827,84818.9296,0.99810743,92361.26
25,12,6.5,10,0.945813793,88833.4437,0.9984026,98651.13
25,12.5,3,0.5,0.721854519,19584.5398,0.8966524,16114.814
25,12.5,3,8.5,0.964258078,61113.1625,0.9985126,66048.23
25,12.5,3,9,0.966041397,64446.6334,0.9987464,70397.55
25,12.5,3,9.5,0.967622536,67777.2305,0.9989411,74983.766
25,12.5,3,10,0.96899612,71103.4647,0.9991045,79778.55
25,12.5,3.25,0.5,0.720583714,19521.0331,0.89508116,16602.318
25,12.5,3.25,8.5,0.962608337,62780.9875,0.9984592,67024.33
25,12.5,3.25,9,0.964448516,66174.2064,0.9987017,71481.18
25,12.5,3.25,9.5,0.966050924,69571.8854,0.99890363,76190.53
25,12.5,3.25,10,0.967465248,72966.3047,0.999073,81092.484
25,12.5,6.25,0.5,0.702132206,18912.7493,0.8729701,20612.662
25,12.5,6.25,8.5,0.941632545,76572.6272,0.997517,79997.89
25,12.5,6.25,9,0.943767369,80554.8029,0.9979137,85700.1
25,12.5,6.25,9.5,0.945601401,84530.6107,0.99824303,91634.38
25,12.5,6.25,10,0.947061617,88506.4764,0.9985175,97829.69
25,12.5,6.5,0.5,0.700502588,18869.9009,0.8709216,20799.674
25,12.5,6.5,8.5,0.939712516,77419.3301,0.99740636,81155.305
25,12.5,6.5,9,0.941796522,81437.844,0.9978212,86944.37
25,12.5,6.5,9.5,0.943450751,85456.551,0.9981653,92982.75
25,12.5,6.5,10,0.945284587,89470.206,0.99845207,99278.2
30,0.5,3,0.5,0.61559779,2629.79615,0.7086795,-1868.0254
30,0.5,3,8.5,0.974390979,44671.6816,0.9964262,51435.875
30,0.5,3,9,0.976943423,48023.0444,0.9971005,55665.594
30,0.5,3,9.5,0.979028838,51370.0062,0.9976174,60121.824
30,0.5,3,10,0.980758398,54713.1721,0.9980232,64842.387
30,0.5,3.25,0.5,0.616508849,2701.93621,0.7089881,-1439.8362
30,0.5,3.25,8.5,0.974880805,46460.4545,0.996367,52347.105
30,0.5,3.25,9,0.977236855,49871.9685,0.99705064,56672.8
30,0.5,3.25,9.5,0.979164396,53281.0465,0.9975754,61231.293
30,0.5,3.25,10,0.980792038,56684.2637,0.99798745,66048.586
30,0.5,6.25,0.5,0.622067355,3401.03532,0.70828575,3306.3413
30,0.5,6.25,8.5,0.969294658,61448.6021,0.9952364,64798.324
30,0.5,6.25,9,0.971058618,65436.1283,0.9961014,70435.305
30,0.5,6.25,9.5,0.972665731,69420.5074,0.9967723,76172.3
30,0.5,6.25,10,0.974004947,73401.7651,0.99730414,82097.445
30,0.5,6.5,0.5,0.622251769,3450.46783,0.70785785,3555.289
30,0.5,6.5,8.5,0.968447532,62381.8962,0.99509984,65977.06
30,0.5,6.5,9,0.970294829,66409.438,0.99598646,71718.3
30,0.5,6.5,9.5,0.971848614,70432.68,0.9966747,77567.766
30,0.5,6.5,10,0.973167979,74453.1527,0.997221,83611.13
30,10.5,3,0.5,0.741422843,16769.8003,0.8788923,13238.404
30,10.5,3,8.5,0.982149371,58775.4788,0.9987297,63664.28
30,10.5,3,9,0.983263815,62116.0843,0.99893457,68020.33
30,10.5,3,9.5,0.984230344,65455.4204,0.99910325,72591.08
30,10.5,3,10,0.985076046,68793.2216,0.99924326,77396.31
30,10.5,3.25,0.5,0.740068084,16728.398,0.8774265,13750.7295
30,10.5,3.25,8.5,0.981146161,60437.5326,0.99868757,64656.9
30,10.5,3.25,9,0.982292978,63839.985,0.9988993,69125.13
30,10.5,3.25,9.5,0.983280373,67246.9738,0.9990736,73805.99
30,10.5,3.25,10,0.984170147,70636.9891,0.99921846,78712.21
30,10.5,6.25,0.5,0.720668268,16334.1741,0.85652506,18039.635
30,10.5,6.25,8.5,0.967107714,74271.0952,0.9979378,77744.234
30,10.5,6.25,9,0.968638041,78255.2803,0.9982734,83473.664
30,10.5,6.25,9.5,0.96988639,82243.0631,0.998549,89415.45
30,10.5,6.25,10,0.971059502,86220.6727,0.9987771,95606.69
30,10.5,6.5,0.5,0.718962165,16306.4849,0.8545903,18226.89
30,10.5,6.5,8.5,0.965720168,75123.0164,0.99784946,78899.78
30,10.5,6.5,9,0.967170743,79151.1325,0.9981996,84715.67
30,10.5,6.5,9.5,0.968575671,83174.2299,0.9984871,90769.98
30,10.5,6.5,10,0.969987912,87195.1135,0.99872494,97065.07
30,11,3,0.5,0.741685051,17475.9233,0.88563234,13994.854
30,11,3,8.5,0.981952295,59477.6387,0.9987791,64306.7
30,11,3,9,0.983089696,62818.1226,0.9989756,68666.266
30,11,3,9.5,0.984074183,66157.3217,0.9991376,73240.89
30,11,3,10,0.984931271,69494.6865,0.99927217,78045.3
30,11,3.25,0.5,0.740338092,17428.8368,0.8841485,14500.287
30,11,3.25,8.5,0.980932946,61133.5209,0.9987378,65298.613
30,11,3.25,9,0.982103914,64537.1337,0.9989411,69770.94
30,11,3.25,9.5,0.983114381,67938.418,0.9991087,74457.82
30,11,3.25,10,0.984003303,71339.3883,0.99924785,79363.24
30,11,6.25,0.5,0.720893401,16980.0015,0.86302626,18701.797
30,11,6.25,8.5,0.966719126,74911.4639,0.99800646,78375.08
30,11,6.25,9,0.968283862,78896.7565,0.9983307,84100
30,11,6.25,9.5,0.969564108,82884.1048,0.99859715,90046.63
30,11,6.25,10,0.970743075,86863.2454,0.9988178,96247.03
30,11,6.5,0.5,0.719176737,16948.4683,0.8610697,18887.713
30,11,6.5,8.5,0.965324541,75760.474,0.9979202,79531.516
30,11,6.5,9,0.966812154,79789.5135,0.99825877,85343.77
30,11,6.5,9.5,0.968201703,83809.8591,0.99853677,91401.26
30,11,6.5,10,0.969651725,87831.8657,0.9987669,97702.625
30,11.5,3,0.5,0.741870297,18182.0501,0.8920992,14746.635
30,11.5,3,8.5,0.981736643,60179.3067,0.99882585,64953.926
30,11.5,3,9,0.98289571,63520.0527,0.9990145,69316.92
30,11.5,3,9.5,0.983899532,66859.2977,0.9991702,73896.13
30,11.5,3,10,0.984775122,70196.9065,0.9992997,78700.07
30,11.5,3.25,0.5,0.740532989,18129.2806,0.8906065,15243.951
30,11.5,3.25,8.5,0.980699806,61829.328,0.9987856,65941.87
30,11.5,3.25,9,0.981886767,65232.8356,0.9989809,70418.375
30,11.5,3.25,9.5,0.982922677,68638.0475,0.99914205,75113.48
30,11.5,3.25,10,0.983837867,72033.9995,0.99927604,80019.94
30,11.5,6.25,0.5,0.721052831,17625.834,0.86936617,19356.852
30,11.5,6.25,8.5,0.96631423,75551.7216,0.99807227,79004.17
30,11.5,6.25,9,0.967914282,79537.9396,0.9983857,84724.94
30,11.5,6.25,9.5,0.969227185,83524.3081,0.9986435,90674.81
30,11.5,6.25,10,0.970403243,87503.9651,0.998857,96883.31
30,11.5,6.5,0.5,0.719327476,17590.4567,0.8673949,19541.543
30,11.5,6.5,8.5,0.964912955,76397.3203,0.9979882,80161.3
30,11.5,6.5,9,0.966435566,80426.723,0.9983155,85970.24
30,11.5,6.5,9.5,0.967827325,84446.6083,0.9985846,92029.195
30,11.5,6.5,10,0.969304073,88468.7479,0.9988073,98335.69
30,12,3,0.5,0.741990851,18888.1824,0.8982895,15493.362
30,12,3,8.5,0.981500266,60880.8777,0.9988702,65601.234
30,12,3,9,0.982683872,64221.9776,0.9990516,69967.54
30,12,3,9.5,0.98370669,67561.2563,0.9992014,74553.375
30,12,3,10,0.984603637,70899.0779,0.99932593,79357.96
30,12,3.25,0.5,0.740659808,18829.7272,0.8967962,15982.8125
30,12,3.25,8.5,0.980447348,62524.8795,0.998831,66584.914
30,12,3.25,9,0.981661124,65932.653,0.9990188,71063.67
30,12,3.25,9.5,0.982722732,69333.8068,0.99917394,75768.32
30,12,3.25,10,0.983645347,72737.6448,0.999303,80677.37
30,12,6.25,0.5,0.721157949,18271.6727,0.87553483,20005.719
30,12,6.25,8.5,0.965896734,76192.1101,0.99813545,79631.99
30,12,6.25,9,0.967532376,80179.125,0.99843866,85348.96
30,12,6.25,9.5,0.968881209,84164.1371,0.9986881,91300.44
30,12,6.25,10,0.970063571,88144.3618,0.9988947,97515.92
30,12,6.5,0.5,0.719424835,18232.4515,0.87355614,20189.318
30,12,6.5,8.5,0.964487738,77034.3666,0.9980534,80790.234
30,12,6.5,9,0.966050052,81062.8269,0.9983702,86595.58
30,12,6.5,9.5,0.967452505,85084.6012,0.9986307,92654.234
30,12,6.5,10,0.968945588,89105.5615,0.9988464,98965.55
30,12.5,3,0.5,0.74205768,19594.32,0.9042017,16235.709
30,12.5,3,8.5,0.981245383,61582.4969,0.99891233,66248.555
30,12.5,3,9,0.982455119,64923.7182,0.99908674,70617.36
30,12.5,3,9.5,0.983502716,68263.1579,0.999231,75211.055
30,12.5,3,10,0.98441607,71600.4747,0.99935114,80017.234
30,12.5,3.25,0.5,0.740735228,19530.181,0.9027154,16717.844
30,12.5,3.25,8.5,0.980177402,63220.7207,0.9988742,67228.17
30,12.5,3.25,9,0.981423711,66622.4762,0.9990549,71708.195
30,12.5,3.25,9.5,0.982504188,70029.2077,0.99920434,76422.62
30,12.5,3.25,10,0.98344749,73422.7543,0.9993286,81335.37
30,12.5,6.25,0.5,0.721217526,18917.5182,0.88152313,20649.246
30,12.5,6.25,8.5,0.965466105,76832.4249,0.998196,80259.1
30,12.5,6.25,9,0.967137846,80820.1733,0.9984895,85972.49
30,12.5,6.25,9.5,0.968525046,84803.2435,0.998731,91923.83
30,12.5,6.25,10,0.969705001,88784.326,0.99893093,98145.39
30,12.5,6.5,0.5,0.719477484,18874.4535,0.8795438,20831.875
30,12.5,6.5,8.5,0.964048505,77671.4389,0.998116,81418.96
30,12.5,6.5,9,0.965653916,81698.5333,0.99842274,87220.2
30,12.5,6.5,9.5,0.967058789,85720.656,0.99867505,93276.734
30,12.5,6.5,10,0.968564391,89742.2128,0.998884,99593.6
35,0.5,3,0.5,0.615697541,2643.01729,0.7094599,-1853.8793
35,0.5,3,8.5,0.986311195,45107.1567,0.9971013,51599.77
35,0.5,3,9,0.988006648,48465.9604,0.9976791,55843.633
35,0.5,3,9.5,0.989343285,51820.8142,0.99811447,60325.71
35,0.5,3,10,0.990418018,55172.1603,0.9984504,65066.72
35,0.5,3.25,0.5,0.616606928,2714.61569,0.70973516,-1428.3651
35,0.5,3.25,8.5,0.986638175,46865.1496,0.9970587,52516.395
35,0.5,3.25,9,0.988189004,50284.4135,0.99764365,56855.867
35,0.5,3.25,9.5,0.989423809,53699.6533,0.99808455,61438.68
35,0.5,3.25,10,0.990435929,57111.9809,0.9984249,66277.59
35,0.5,6.25,0.5,0.622183185,3410.27618,0.7089618,3287.1323
35,0.5,6.25,8.5,0.982947564,61682.8718,0.99621665,65029.887
35,0.5,6.25,9,0.984206005,65676.3655,0.996941,70675.7
35,0.5,6.25,9.5,0.985265297,69666.5577,0.99749243,76429.25
35,0.5,6.25,10,0.986141447,73653.8676,0.9979223,82374.93
35,0.5,6.5,0.5,0.62236663,3459.56881,0.70856076,3533.7012
35,0.5,6.5,8.5,0.982406652,62609.725,0.99611294,66215.55
35,0.5,6.5,9,0.983668811,66642.0793,0.996854,71967.39
35,0.5,6.5,9.5,0.984705352,70671.6609,0.997419,77833.805
35,0.5,6.5,10,0.985583542,74698.4166,0.99785995,83894.51
35,10.5,3,0.5,0.759451451,16781.0103,0.88621444,13351.252
35,10.5,3,8.5,0.991169431,59192.0665,0.99906147,63864.426
35,10.5,3,9,0.991836208,62541.5959,0.9992167,68231.11
35,10.5,3,9.5,0.99240029,65894.1105,0.9993431,72811.22
35,10.5,3,10,0.992881895,69243.1027,0.9994472,77635.49
35,10.5,3.25,0.5,0.758029089,16739.02,0.88481474,13856.586
35,10.5,3.25,8.5,0.990553746,60830.4342,0.99903125,64859.3
35,10.5,3.25,9,0.991259809,64235.87,0.99919146,69342.67
35,10.5,3.25,9.5,0.991851982,67654.0397,0.99932206,74031.22
35,10.5,3.25,10,0.992363042,71065.1269,0.9994295,78954.195
35,10.5,6.25,0.5,0.737569001,16340.7891,0.8645979,18063.906
35,10.5,6.25,8.5,0.981444624,74501.6909,0.99849045,77997.2
35,10.5,6.25,9,0.982493354,78495.3452,0.998741,83737.42
35,10.5,6.25,9.5,0.983357845,82487.3385,0.9989449,89702.87
35,10.5,6.25,10,0.984232088,86474.026,0.9991123,95911.625
35,10.5,6.5,0.5,0.735764184,16312.9076,0.8627137,18245.7
35,10.5,6.5,8.5,0.980472912,75349.3478,0.9984263,79154.66
35,10.5,6.5,9,0.981510759,79383.767,0.99868745,84982.03
35,10.5,6.5,9.5,0.982559269,83413.0169,0.99890006,91061.05
35,10.5,6.5,10,0.983484622,87438.3495,0.99907464,97371.36
