NStage,RR,TopPres,StoF,DIST_C4H6_T2,RebDuty_T2,Puri_pred,Duty_pred
8,0.2,3.5,2,0.993141926,10622.6948,0.9828886,10597.75
8,0.2,3.5,3,0.988219712,13123.8985,0.96740067,11706.356
8,0.2,3.5,4,0.959289712,12781.5559,0.9400803,12183.423
8,0.2,3.5,5,0.906176037,12396.7946,0.9078063,12265.865
8,0.2,3.5,7,0.778579056,10672.7228,0.83000755,11845.05
8,0.2,3.5,8,0.718120508,9752.71268,0.7817586,11425.427
8,0.2,4,1,0.994446967,7069.8845,0.9893584,9253.944
8,0.2,4,2,0.992688695,11135.3354,0.98289096,11391.762
8,0.2,4,3,0.987818289,13865.8459,0.96795166,12774.588
8,0.2,4,4,0.962024946,13799.9576,0.9431019,13533.901
8,0.2,4,5,0.916252776,13770.665,0.91485584,13901.17
8,0.2,4,6,0.860697068,13349.5779,0.8835393,14036.195
8,0.2,4,7,0.803594708,12805.6397,0.8463057,13995.536
8,0.2,4,8,0.749182865,12249.4266,0.8024705,13794.284
8,0.2,4.5,2,0.992242402,11603.6919,0.98248637,12074.771
8,0.2,4.5,3,0.987384134,14546.2022,0.96773624,13708.263
8,0.2,4.5,5,0.923567173,14992.5646,0.9193021,15347.656
8,0.2,4.5,6,0.87403215,14890.0018,0.89136076,15736.744
8,0.2,4.5,7,0.822684532,14666.8296,0.85792553,15935.475
8,0.2,4.5,8,0.773377461,14423.3568,0.8180296,15954.4
8,0.2,5,4,0.964367586,15571.1066,0.9450968,15772.381
8,0.2,5,5,0.928555677,16097.8944,0.9218612,16631.637
8,0.2,5,6,0.88396729,16272.221,0.8963412,17252.707
8,0.2,5,7,0.83729971,16327.266,0.8657917,17676.336
8,0.2,5,8,0.792349542,16359.1212,0.829169,17909.297
8,0.2,5.5,1,0.993822312,7772.58542,0.98820245,10398.901
8,0.2,5.5,2,0.99115707,12446.3008,0.9809348,13171.975
8,0.2,5.5,3,0.986242092,15767.6699,0.965922,15243.57
8,0.2,5.5,4,0.964386192,16359.939,0.9449525,16703.504
8,0.2,5.5,5,0.931728923,17112.7575,0.9232138,17777.156
8,0.2,5.5,6,0.891136907,17531.0179,0.89939976,18609.676
8,0.2,5.5,7,0.848427088,17833.6911,0.8709939,19239.547
8,0.2,5.5,8,0.807220352,18111.929,0.83701575,19673.254
8,0.2,6,1,0.993546311,7978.30503,0.98762643,10675.532
8,0.2,6,3,0.985820971,16319.4878,0.96473855,15877.689
8,0.2,6,4,0.963805703,17099.6417,0.9445321,17532.756
8,0.2,6,5,0.933660663,18056.0737,0.9239074,18804.318
8,0.2,6,6,0.896154923,18692.2152,0.9013063,19831.488
8,0.2,6,7,0.856740765,19217.839,0.87450254,20650.307
8,0.2,6,8,0.818581316,19717.6434,0.84266454,21269.035
8,0.4,3.5,1,0.994853471,7026.46279,0.99199545,9091.189
8,0.4,3.5,2,0.9943787,10826.024,0.9878904,11054.031
8,0.4,3.5,3,0.993068922,13326.1041,0.97790515,12235.464
8,0.4,3.5,4,0.982835174,13203.6841,0.95861864,12770.869
8,0.4,3.5,5,0.953287329,13171.9168,0.93404037,12903.939
8,0.4,3.5,8,0.797564023,11153.9224,0.8342568,12184.002
8,0.4,4,1,0.994765999,7300.22952,0.9919504,9566.756
8,0.4,4,2,0.994094088,11348.5357,0.98774993,11782.545
8,0.4,4,3,0.992561618,14080.2638,0.9779545,13234.276
8,0.4,4,4,0.982578506,14183.9297,0.96005404,14045.731
8,0.4,4,6,0.91893907,14271.8585,0.9146023,14634.659
8,0.4,4,7,0.872522579,13916.6701,0.8859876,14635.128
8,0.4,4,8,0.824645105,13492.9365,0.85071975,14473.053
8,0.4,4.5,1,0.994668843,7549.0793,0.99168664,9957.182
8,0.4,4.5,2,0.993807253,11822.2131,0.9872982,12403.674
8,0.4,4.5,3,0.992168021,14764.1102,0.977425,14103.572
8,0.4,4.5,4,0.982101281,15083.632,0.96037275,15166.667
8,0.4,4.5,5,0.960757708,15577.7571,0.9406602,15830.841
8,0.4,4.5,6,0.927341296,15703.3267,0.91939515,16257.242
8,0.4,4.5,7,0.887018545,15655.3353,0.89384043,16494.404
8,0.4,4.5,8,0.844915645,15540.4139,0.862203,16552.643
8,0.4,5,1,0.994548498,7780.94449,0.9912599,10279.5205
8,0.4,5,2,0.993478472,12261.4927,0.98661137,12934.484
8,0.4,5,4,0.981281028,15919.5634,0.9598702,16155.9
8,0.4,5,5,0.962038946,16627.6366,0.9414848,17051.488
8,0.4,5,6,0.932622293,17000.3707,0.9218826,17705.416
8,0.4,5,7,0.897051058,17216.165,0.8984828,18162.709
8,0.4,5,8,0.859688637,17370.0155,0.86961997,18431.68
8,0.4,5.5,1,0.994402823,7998.52993,0.9907257,10550.096
8,0.4,5.5,2,0.993138079,12669.547,0.9857583,13391.731
8,0.4,5.5,3,0.990414966,16022.5302,0.9751617,15525.49
8,0.4,5.5,4,0.980164785,16701.8843,0.95883167,17032.348
