NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
42,1.5,3.75,1.5,0.77541099,6506.46897,0.8083925,6472.7676
42,1.5,3.75,2.5,0.864031023,10225.1148,0.88594663,12090.072
42,1.5,3.75,3.5,0.932422403,15848.267,0.94229174,18045.598
42,1.5,3.75,4.5,0.969757361,23520.1175,0.9732011,24580.799
42,1.5,3.75,5.5,0.984430601,30557.2689,0.98760784,31644.803
42,1.5,3.75,6.5,0.990485463,37650.9649,0.9939307,39214.94
42,1.5,3.75,7.5,0.993442727,44755.1054,0.9967392,47202.117
42,1.5,4.25,1.5,0.779647581,6851.12108,0.80714,7450.6436
42,1.5,4.25,2.5,0.871922432,11004.9436,0.88434327,13114.377
42,1.5,4.25,3.5,0.938971503,18234.7556,0.941088,19141.156
42,1.5,4.25,4.5,0.972156911,25347.6402,0.97252524,25757.064
42,1.5,4.25,5.5,0.984944737,32636.0772,0.98726434,32895.906
42,1.5,4.25,6.5,0.990435059,39958.5802,0.99374974,40540.105
42,1.5,4.25,7.5,0.993216536,47275.763,0.99663305,48812.594
42,1.5,4.75,1.5,0.783121412,7185.17185,0.8057126,8395.859
42,1.5,4.75,2.5,0.878112201,11846.0493,0.882568,14106.844
42,1.5,4.75,3.5,0.943293494,19581.1953,0.9397484,20240.986
42,1.5,4.75,4.5,0.973277303,26989.8215,0.97176635,26940.36
42,1.5,4.75,5.5,0.984953309,34501.2749,0.9868747,34149.97
42,1.5,4.75,6.5,0.990134115,42025.4007,0.99354184,41911.07
42,1.5,4.75,7.5,0.99282917,49539.1392,0.99651015,50478.344
42,1.5,5.25,1.5,0.785968678,7512.61205,0.8041209,9277.242
42,1.5,5.25,2.5,0.882824746,13171.3754,0.8806303,15078.578
42,1.5,5.25,3.5,0.945978454,20828.8096,0.93827564,21334.059
42,1.5,5.25,4.5,0.973699716,28478.4063,0.97092324,28132.365
42,1.5,5.25,5.5,0.984644899,36190.2086,0.9864367,35421.695
42,1.5,5.25,6.5,0.989652298,43901.415,0.9933053,43338
42,1.5,5.25,7.5,0.992322317,51598.182,0.9963689,52204.44
42,1.5,5.75,1.5,0.788303993,7838.43855,0.8023772,10067.6045
42,1.5,5.75,2.5,0.886551121,14474.2227,0.87854165,16002.104
42,1.5,5.75,3.5,0.947508847,21979.3123,0.93667334,22404.139
42,1.5,5.75,4.5,0.973598097,29839.508,0.96999454,29318.363
42,1.5,5.75,5.5,0.984078771,37735.7802,0.9859482,36716.21
42,1.5,5.75,6.5,0.989026964,45621.7226,0.9930378,44825.168
42,1.5,5.75,7.5,0.991711328,53489.9541,0.9962077,54000.4
42,2.5,3.75,1.5,0.821449847,7930.46632,0.8289503,7983.4033
42,2.5,3.75,2.5,0.90636635,11702.653,0.90259016,13555.354
42,2.5,3.75,3.5,0.956922801,17408.6723,0.95228034,19453.916
42,2.5,3.75,4.5,0.978955229,24943.7493,0.97813237,25926.646
42,2.5,3.75,5.5,0.987855148,31946.1021,0.9898535,32911.555
42,2.5,3.75,6.5,0.991987623,39031.4142,0.99495447,40410.438
42,2.5,3.75,7.5,0.994199885,46131.5682,0.99723417,48373.863
42,2.5,4.25,1.5,0.823081029,8254.88557,0.82737,8988.746
42,2.5,4.25,2.5,0.909727843,12460.2245,0.90090054,14598.717
42,2.5,4.25,3.5,0.95865363,19676.6185,0.9511322,20583.906
42,2.5,4.25,4.5,0.979168885,26737.3862,0.97751296,27127.15
42,2.5,4.25,5.5,0.987596062,34000.5498,0.989538,34180.99
42,2.5,4.25,6.5,0.991602394,41314.8101,0.99478453,41758.95
42,2.5,4.25,7.5,0.993807468,48631.2157,0.9971326,50008.93
42,2.5,4.75,1.5,0.824133622,8570.00554,0.82561046,9955.45
42,2.5,4.75,2.5,0.911859225,13291.2264,0.8990348,15617.838
42,2.5,4.75,3.5,0.959362442,20983.0897,0.9498528,21707.51
42,2.5,4.75,4.5,0.978910139,28344.5239,0.9768165,28337.1
42,2.5,4.75,5.5,0.987076996,35844.37,0.98917997,35464.156
42,2.5,4.75,6.5,0.991086265,43362.2314,0.9945898,43153.914
42,2.5,4.75,7.5,0.993300576,50874.6969,0.9970155,51697.23
42,2.5,5.25,1.5,0.824714225,8880.19236,0.8236845,10844.685
42,2.5,5.25,2.5,0.91296186,14899.976,0.89700174,16612.926
42,2.5,5.25,3.5,0.959376164,22198.2623,0.94844306,22820.443
42,2.5,5.25,4.5,0.978292598,29812.2192,0.97604084,29553.89
42,2.5,5.25,5.5,0.986403951,37512.0424,0.98877704,36769.055
42,2.5,5.25,6.5,0.990427425,45220.4395,0.99436826,44606.9
42,2.5,5.25,7.5,0.992704877,52915.2343,0.9968813,53446.812
42,2.5,5.75,1.5,0.824911347,9189.55241,0.8216074,11643.008
42,2.5,5.75,2.5,0.913584744,15857.0315,0.8948121,17531.902
42,2.5,5.75,3.5,0.958923982,23319.7882,0.9469048,23893.188
42,2.5,5.75,4.5,0.977463718,31153.3511,0.97518384,30752.02
42,2.5,5.75,5.5,0.985563863,39040.0458,0.98832655,38094.297
42,2.5,5.75,6.5,0.989665452,46922.6672,0.99411803,46125.383
42,2.5,5.75,7.5,0.992014422,54789.3819,0.99672854,55260.3
42,3.5,3.75,1.5,0.855990907,9342.45805,0.84857905,9523.06
42,3.5,3.75,2.5,0.932995446,13142.749,0.9173357,15056.753
42,3.5,3.75,3.5,0.968818476,18870.5978,0.96060514,20913.545
42,3.5,3.75,4.5,0.983373107,26343.2462,0.9821035,27316.668
42,3.5,3.75,5.5,0.98968566,33329.734,0.9916378,34216.938
42,3.5,3.75,6.5,0.992865767,40407.8331,0.9957689,41643.79
42,3.5,3.75,7.5,0.994663265,47506.3441,0.9976324,49584.414
42,3.5,4.25,1.5,0.855310842,9646.34923,0.84671515,10562.985
42,3.5,4.25,2.5,0.932930472,13877.8756,0.9156122,16127.2705
42,3.5,4.25,3.5,0.968379516,21070.727,0.95952433,22066.479
42,3.5,4.25,4.5,0.98272624,28103.4637,0.9815364,28536.738
42,3.5,4.25,5.5,0.989071494,35359.6202,0.99134684,35512.074
