NStage,RR,TopPres,StoF,DIST_C4H6_T2,RebDuty_T2,Puri_pred,Duty_pred
9,0.7,5.25,4.5,0.985521279,17233.6548,0.96894455,17548.25
9,0.7,5.25,5.5,0.97542634,17967.9815,0.9558388,18482.814
9,0.7,5.25,6.5,0.959491308,18532.3357,0.9415895,19200.016
9,0.7,5.25,7.5,0.938720543,19009.0514,0.9241675,19720.379
9,0.7,5.75,1.5,0.99420984,11035.2956,0.9920257,12288.977
9,0.7,5.75,2.5,0.993030959,15162.2486,0.9879119,14972.561
9,0.7,5.75,3.5,0.990748906,17745.3692,0.9796406,16951.418
9,0.7,5.75,4.5,0.984251416,18088.8108,0.9677475,18404.787
9,0.7,5.75,5.5,0.974237485,18999.4962,0.95503294,19539.871
9,0.7,5.75,6.5,0.959417682,19749.6125,0.941305,20448.752
9,0.7,5.75,7.5,0.940689717,20422.735,0.92474395,21151.832
9,0.9,3.75,1.5,0.994854103,9948.04222,0.9947281,11107.736
9,0.9,3.75,2.5,0.994578632,13219.8091,0.9922713,12990.286
9,0.9,3.75,3.5,0.993923022,14976.0682,0.98689735,14120.561
9,0.9,3.75,4.5,0.991203429,14543.0048,0.97660476,14706.193
9,0.9,3.75,5.5,0.984661794,14708.1438,0.96295226,14982.939
9,0.9,3.75,6.5,0.970098253,14703.1311,0.9477401,15066.443
9,0.9,3.75,7.5,0.945813502,14556.109,0.9290794,14984.195
9,0.9,4.25,1.5,0.99477324,10319.8337,0.9945694,11525.247
9,0.9,4.25,2.5,0.99437445,13833.0164,0.9920621,13650.286
9,0.9,4.25,4.5,0.990386736,15606.5351,0.97694683,15865.161
9,0.9,4.25,5.5,0.984081376,15981.5761,0.96456087,16385.957
9,0.9,4.25,6.5,0.971831824,16200.7148,0.9510325,16703.865
9,0.9,4.25,7.5,0.952575538,16316.0968,0.9345539,16843.84
9,0.9,4.75,1.5,0.9946742,10663.3747,0.99428904,11866.52
9,0.9,4.75,2.5,0.994139567,14397.3885,0.9916905,14213.802
9,0.9,4.75,3.5,0.993036735,16600.5482,0.9862274,15825.3545
9,0.9,4.75,4.5,0.989549643,16586.5672,0.97673035,16892.61
9,0.9,4.75,5.5,0.983282428,17159.7138,0.9651823,17639.924
9,0.9,4.75,6.5,0.972311361,17583.07,0.9527756,18174.318
9,0.9,4.75,7.5,0.956093729,17922.9106,0.9378027,18520.646
9,0.9,5.25,1.5,0.99454849,10985.2474,0.99390566,12149.03
9,0.9,5.25,3.5,0.992490704,17325.9546,0.98545235,16523.385
9,0.9,5.25,4.5,0.988576662,17501.7905,0.9760313,17807.705
9,0.9,5.25,5.5,0.982186081,18261.4049,0.96499264,18767.373
9,0.9,5.25,6.5,0.97188627,18874.1776,0.9532793,19503.63
9,0.9,5.25,7.5,0.957485984,19414.5489,0.9392956,20041.41
9,0.9,5.75,1.5,0.99439353,11289.1267,0.9934357,12388.615
9,0.9,5.75,2.5,0.993506705,15419.1283,0.9904777,15119.906
9,0.9,5.75,3.5,0.991853723,18006.6925,0.9844104,17140.598
9,0.9,5.75,4.5,0.987469386,18361.9058,0.97491026,18627.146
9,0.9,5.75,5.5,0.980826372,19297.2531,0.9641243,19786.922
9,0.9,5.75,6.5,0.970838423,20088.0668,0.95277274,20713.643
9,0.9,5.75,7.5,0.957583141,20813.6482,0.93937933,21431.26
9,1.1,3.75,1.5,0.994887086,10218.9465,0.9954917,11319.6
9,1.1,3.75,2.5,0.994678928,13485.1129,0.9936265,13257.1875
9,1.1,3.75,3.5,0.994209166,15237.7894,0.98971045,14436.588
9,1.1,3.75,4.5,0.99247871,14797.4012,0.9818543,15062.109
9,1.1,3.75,5.5,0.98867485,14967.7869,0.9705232,15372.323
9,1.1,3.75,6.5,0.980249638,15010.3841,0.957806,15486.237
9,1.1,3.75,7.5,0.964669856,14963.1256,0.9427245,15434.799
9,1.1,4.25,1.5,0.994822937,10585.8248,0.9953559,11698.505
9,1.1,4.25,2.5,0.994517523,14095.7289,0.993443,13874.146
9,1.1,4.25,4.5,0.991787889,15866.0589,0.9819461,16170.0625
9,1.1,4.25,5.5,0.987820846,16250.4457,0.97150195,16718.688
9,1.1,4.25,6.5,0.980227329,16503.3266,0.9600561,17059.822
9,1.1,4.25,7.5,0.9675857,16684.9651,0.94660217,17223.406
9,1.1,4.75,1.5,0.994743545,10925.3022,0.99512625,12005.368
9,1.1,4.75,2.5,0.994328362,14657.5054,0.9931493,14399.464
9,1.1,4.75,3.5,0.993502091,16862.1735,0.98912203,16053.089
9,1.1,4.75,4.5,0.991080815,16850.8325,0.98167,17153.793
9,1.1,4.75,5.5,0.986917008,17433.8024,0.9718183,17925.63
9,1.1,4.75,6.5,0.979725607,17885.5702,0.96123064,18478.143
9,1.1,4.75,7.5,0.968727632,18273.4988,0.94888914,18841.41
9,1.1,5.25,1.5,0.994641814,11243.7284,0.9948139,12257.3125
9,1.1,5.25,3.5,0.993058524,17588.1261,0.98851836,16714.934
9,1.1,5.25,4.5,0.990256134,17768.7038,0.9810566,18031.246
9,1.1,5.25,5.5,0.985825589,18540.718,0.97156554,19013.846
9,1.1,5.25,6.5,0.978749009,19178.1299,0.96151924,19765.371
9,1.1,5.25,7.5,0.968640684,19757.2585,0.9499027,20315.395
9,1.1,5.75,1.5,0.994515463,11544.9012,0.99442816,12469.751
9,1.1,5.75,2.5,0.993811071,15677.288,0.99221766,15242.206
9,1.1,5.75,3.5,0.992535509,18270.4985,0.98770446,17300.564
9,1.1,5.75,4.5,0.989322133,18632.0795,0.9801186,18818.262
9,1.1,5.75,5.5,0.984563496,19581.7474,0.97079754,20000.512
9,1.1,5.75,6.5,0.977427043,20395.066,0.96104,20941.457
9,1.1,5.75,7.5,0.967778458,21152.7922,0.9498476,21668.756
