NStage,RR,TopPres,StoF,DIST_C4H6_T2,RebDuty_T2,Puri_pred,Duty_pred
6,0.1,3,0.5,0.99438736,4180.7059,0.9887559,6959.7705
6,0.1,3,8.5,0.596132116,5034.8241,0.7008211,7851.1045
6,0.1,3,9,0.567219966,4387.22406,0.6721997,7463.035
6,0.1,3,9.5,0.540245557,3769.00278,0.6431655,7056.34
6,0.1,3,10,0.515193941,3178.02972,0.6139433,6634.693
6,0.1,3.25,0.5,0.994267497,4269.96176,0.98896706,7253.3374
6,0.1,3.25,8.5,0.618778557,6744.40988,0.7153199,9229.511
6,0.1,3.25,9,0.590976072,6202.0231,0.6871152,8885.604
6,0.1,3.25,9.5,0.564944016,5682.89549,0.65828514,8521.153
6,0.1,3.25,10,0.540641794,5190.52858,0.6290848,8139.5576
6,0.1,6.25,0.5,0.992192217,5080.6405,0.9874856,9325.714
6,0.1,6.25,8.5,0.742929368,20014.2859,0.80360603,22085.062
6,0.1,6.25,9,0.725121448,20298.4321,0.7845343,22301.635
6,0.1,6.25,9.5,0.708176204,20589.9634,0.7644491,22477.584
6,0.1,6.25,10,0.69210981,20889.391,0.7434446,22614.309
6,0.1,6.5,0.5,0.991963223,5134.63958,0.9872483,9430.52
6,0.1,6.5,8.5,0.74594641,20803.7004,0.80656147,22866.973
6,0.1,6.5,9,0.7285152,21135.9957,0.7880908,23126.404
6,0.1,6.5,9.5,0.712021126,21476.0364,0.7686648,23344.537
6,0.1,6.5,10,0.696336728,21823.2391,0.74835736,23522.512
6,2.1,3,0.5,0.994934818,6982.15856,0.9970821,9135.551
6,2.1,3,8.5,0.955283297,13516.0696,0.9552469,13878.162
6,2.1,3.25,0.5,0.99491715,7052.8968,0.9971015,9228.225
6,2.1,3.25,9.5,0.93871224,14355.6072,0.94311446,14467.123
6,2.1,3.25,10,0.928451345,14178.9073,0.9351136,14240.084
6,2.1,6.25,0.5,0.994468394,7736.52845,0.99681807,9498.287
6,2.1,6.25,8.5,0.944897828,25529.6114,0.9601799,24344.846
6,2.1,6.25,9,0.938955389,25997.174,0.95539963,24610.246
6,2.1,6.25,9.5,0.932899135,26461.1607,0.95018595,24843.824
6,2.1,6.25,10,0.926735604,26922.8323,0.9445077,25050.797
