hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(2, 19, 'softplus')",1514.0,"[6348, 382, 226, 464, 150]",0.9643556526889718,"[0.9849421750583287, 0.9802007718080515, 0.9684027934489748, 0.9871484614444548, 0.9010840616850486]",1015.30615,"[648.864, 667.07855, 1335.121, 651.90326, 1773.5638]"
"(2, 19, 'tanh')",313.8,"[339, 293, 283, 313, 341]",0.9452077184458476,"[0.9747850251825613, 0.9808326889470164, 0.9475609910405647, 0.9827830878242155, 0.8400767992348801]",1245.1289,"[839.6568, 656.3469, 1719.9805, 754.5417, 2255.119]"
"(2, 20, 'elu')",376.2,"[446, 477, 333, 319, 306]",0.9644893435533092,"[0.9720936002217592, 0.9799586745013015, 0.9633227767215982, 0.976273781273758, 0.9307978850481291]",1072.4292,"[883.333, 671.14453, 1438.4491, 885.76776, 1483.4515]"
"(2, 20, 'sigmoid')",566.8,"[1138, 18, 484, 1149, 45]",0.7659425674682419,"[0.9873555823804381, 0.1834533287014546, 0.9512262753417159, 0.9931845606941362, 0.7144930902234643]",2005.0426,"[594.596, 4283.9395, 1658.7817, 474.73642, 3013.1587]"
"(2, 20, 'softplus')",292.8,"[404, 705, 298, 35, 22]",0.5319826337932548,"[0.9757867781220445, 0.9849393980026723, 0.9731705668154276, 0.7515574884001628, -1.0255410623740326]",2705.3774,"[822.80865, 581.8004, 1230.2745, 2866.2795, 8025.724]"
"(2, 20, 'tanh')",263.6,"[390, 287, 299, 286, 56]",0.9303923552000727,"[0.9720752024062432, 0.9772709658839299, 0.9558521806790828, 0.984312525677008, 0.7624509013540993]",1329.0461,"[883.6242, 714.7322, 1578.1595, 720.24805, 2748.466]"
"(2, 21, 'elu')",367.2,"[594, 27, 597, 468, 150]",0.5503598070592635,"[0.9759568110879964, -1.0886348358343731, 0.9539980795496772, 0.9851372500185988, 0.925341730474418]",2304.8462,"[819.9146, 6851.4756, 1610.9581, 701.06, 1540.8226]"
"(2, 21, 'sigmoid')",529.0,"[1305, 330, 67, 864, 79]",0.9184296577706462,"[0.9835787616347701, 0.9774031142363733, 0.8195131251480068, 0.9922441063273755, 0.8194091815067055]",1496.8086,"[677.60333, 712.65137, 3190.9434, 506.43246, 2396.412]"
"(2, 21, 'softplus')",167.8,"[27, 27, 244, 468, 73]",0.6936012283346781,"[0.3728255745440294, 0.2763095504429812, 0.9498814155019681, 0.9879490268440472, 0.8810405743403641]",2495.6726,"[4187.6147, 4033.01, 1681.4954, 631.2722, 1944.971]"
"(2, 21, 'tanh')",321.4,"[375, 322, 314, 431, 165]",0.9472111835557362,"[0.9728239491469649, 0.9783647161033457, 0.9466930276196677, 0.9848510453934533, 0.8533231795152494]",1234.1321,"[871.6973, 697.32324, 1734.1566, 707.77783, 2159.705]"
"(2, 22, 'elu')",325.6,"[522, 546, 53, 432, 75]",0.9413655742667573,"[0.9763059587022107, 0.9838794160099256, 0.9162039489114394, 0.987422878633085, 0.843015669077126]",1293.8633,"[813.9395, 601.9262, 2174.243, 644.90576, 2234.3018]"
"(2, 22, 'sigmoid')",239.2,"[55, 16, 63, 1019, 43]",0.7444833323471218,"[0.7795129822634093, 0.41115549970690424, 0.794612636384437, 0.9906093900270427, 0.746526153353816]",2584.2292,"[2482.9277, 3637.9202, 3403.9497, 557.2531, 2839.0972]"
"(2, 22, 'softplus')",850.8,"[1910, 352, 399, 293, 1300]",0.9810236579601931,"[0.9848389900910711, 0.9862836323968572, 0.9783335600342833, 0.9852051368558081, 0.9704569704229454]",796.1224,"[651.08344, 555.2294, 1105.5797, 699.45715, 969.2621]"
"(2, 22, 'tanh')",298.4,"[504, 344, 30, 325, 289]",0.9368249250245391,"[0.9842598546117469, 0.9838591677789666, 0.8416559836103654, 0.9873370494469207, 0.887012569674696]",1359.4264,"[663.4023, 602.3041, 2988.8018, 647.1025, 1895.5216]"
"(2, 23, 'elu')",933.4,"[2294, 1022, 213, 813, 325]",0.9417501073553651,"[0.9732161543116141, 0.9844274864763762, 0.9432516892746211, 0.9851536377977937, 0.8227015689164207]",1264.2773,"[865.38434, 591.60547, 1789.2571, 700.6734, 2374.4668]"
"(2, 23, 'sigmoid')",574.6,"[1743, 258, 47, 423, 402]",0.9525297624126015,"[0.9904230725882844, 0.9807931025700299, 0.8515970192580004, 0.9908485886796023, 0.948987028967091]",1178.3453,"[517.4706, 657.02435, 2893.4607, 550.1101, 1273.6614]"
"(2, 23, 'softplus')",530.4,"[1032, 224, 69, 983, 344]",0.962781694564368,"[0.9837806514057006, 0.974700182274775, 0.9368787327495836, 0.9925221800010152, 0.926026726390766]",1069.1113,"[673.42505, 754.06976, 1887.0532, 497.27097, 1533.7378]"
"(2, 23, 'tanh')",294.0,"[572, 279, 26, 269, 324]",0.9141661195626257,"[0.9802743007392909, 0.9745815633670535, 0.6982178971107966, 0.9762554025016581, 0.9415014340943303]",1574.9294,"[742.65784, 755.83545, 4126.1313, 886.1107, 1363.9119]"
"(2, 24, 'elu')",378.4,"[16, 333, 366, 473, 704]",0.3561686729758597,"[-2.0102116455256764, 0.9740056353418799, 0.8959770353912078, 0.9868727548438949, 0.9341995848279923]",2893.2974,"[9174.261, 764.3503, 2422.484, 658.8589, 1446.5317]"
"(2, 24, 'sigmoid')",455.6,"[39, 16, 60, 643, 1520]",0.7865976861200535,"[0.6974485601950002, 0.502177009332492, 0.7853641718471924, 0.9854673432100043, 0.9625313460155787]",2303.6025,"[2908.5208, 3344.9553, 3479.7449, 693.2312, 1091.5603]"
"(2, 24, 'softplus')",450.0,"[1768, 235, 15, 13, 219]",0.5631754761861584,"[0.9828132871816492, 0.9760739117517736, 0.08193040246923167, -0.16807211534532396, 0.9431318948734612]",3236.6,"[693.2166, 733.3118, 7196.7114, 6214.9897, 1344.7703]"
"(2, 24, 'tanh')",311.4,"[525, 264, 200, 293, 275]",0.9560673584086393,"[0.9861798004503444, 0.9763329740262193, 0.9451859798573129, 0.9827192246739175, 0.8899188130354023]",1147.2762,"[621.6268, 729.33105, 1758.4989, 755.9398, 1870.9847]"
