,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_DIST_C4H8_T1,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,80,8.551604766588746,3.500140154129302,2.8242457081488497,20,1.9981497155008092,3.500637261988678,0.9650017422649497,25330.789225978686,[0.96307391 0.96777189 0.9588384  0.96744466 0.96787995],"[17199.31445312 18674.86523438 18433.2890625  18422.2421875
 19909.82617188]",[0.98618406 0.98614746 0.98678756 0.98282248 0.98357475],[8658.71875    6597.68896484 7743.5        6537.05615234 4477.44238281],0.9650017619132996,18527.907421875,0.9851032614707946,6802.88125,0.0035673216416646425,862.1569558444247,0.0015895700705999174,1403.5190943279463,0.987219103,0.000294606198,17303.4422,0.987192314,0.997784548,8120.29573,False,False,7110390.63,5733004.92,8592198.25,25423.737930000003
1,80,9.999948231169759,4.863809479276647,2.891663415996692,20,1.9999434641607114,4.013779786481499,0.975955372295555,28972.44437993165,[0.97442776 0.97738284 0.97175264 0.97750342 0.97871029],"[20830.328125   19956.64257812 22159.53125    21536.19335938
 23695.35742188]",[0.98580849 0.98568207 0.98661113 0.98307067 0.98384511],[9233.17089844 7007.68994141 8341.30761719 7022.17822266 5079.81201172],0.9759553909301758,21635.610546875,0.9850034952163697,7336.83173828125,0.0025306216672015794,1264.464083196912,0.001324433374988468,1407.5903669096442,0.98108222,0.000300987165,20179.3451,0.981025623,0.996770818,7395.58993,False,False,9391377.78,4339656.42,8116068.45,27574.93503
2,80,9.998490708081459,3.8226606179467795,2.892712825945283,20,1.999894341875796,4.036642677633817,0.9758325927545138,28278.39030662189,[0.97434437 0.97808278 0.97181082 0.97715241 0.97777277],"[19667.17773438 20227.33398438 21060.06054688 20827.20507812
 22824.32226562]",[0.98580027 0.98566532 0.98660904 0.9830792  0.98386174],[9255.63867188 7022.8125     8364.16699219 7040.33837891 5102.88623047],0.9758326292037964,20921.219921875,0.9850031137466431,7357.1685546875,0.0024066160879807146,1068.0836618048709,0.001315839112078078,1407.9913897363306,0.985633451,0.000278171965,19640.4273,0.985581431,0.997555648,8316.61688,False,False,7533480.1,6313934.79,9343258.66,27957.044179999997
3,80,9.999921248362757,4.44444339650184,2.888670649025418,20,1.9998766263338377,4.036642677633817,0.9758820968228914,28702.383941934284,[0.9743793  0.97763115 0.97173798 0.97733796 0.97832412],"[20344.80078125 20038.76757812 21730.8515625  21233.95898438
 23395.36132812]",[0.9858132  0.98570442 0.98664075 0.98310292 0.98390538],[9252.15136719 7019.35400391 8360.26953125 7036.45214844 5099.95019531],0.97588210105896,21348.748046875,0.9850333333015442,7353.63544921875,0.0024728229426141416,1189.2656969049337,0.0013146208648481036,1407.772809833803,0.982922916,0.000292599467,19963.6741,0.98286712,0.997084826,7761.59045,False,False,7330229.42,6249634.58,9197228.34,27725.26455
4,80,9.999921248362757,4.44444339650184,2.889448462639109,20,1.999894341875796,4.036642677633817,0.9758974779612106,28705.70696336047,[0.97439462 0.97764575 0.97175747 0.97735208 0.97833747],"[20347.23046875 20041.24609375 21733.41992188 21236.65625
 23398.3359375 ]",[0.98581076 0.98569715 0.98663479 0.98309857 0.98389727],[9252.83398438 7020.03759766 8361.03125    7037.21386719 5100.52294922],0.9758974790573121,21351.377734375,0.9850277066230774,7354.3279296875,0.002470794558980236,1189.4462395734106,0.001314801371334155,1407.8156881867646,0.98292392,0.000292234132,19965.4792,0.982868116,0.99708572,7762.10962,False,False,7330570.96,6249941.03,9197672.13,27727.58882
5,80,9.999621090809034,4.863809479276647,2.891663415996692,20,1.9999434641607114,4.013779786481499,0.9759537382355846,28972.02130870049,[0.97442609 0.97738111 0.97175074 0.97750193 0.97870892],"[20829.87109375 19956.29882812 22159.08984375 21535.734375
 23694.95117188]",[0.98580849 0.98568207 0.98661113 0.98307067 0.98384511],[9233.17089844 7007.68994141 8341.30761719 7022.17822266 5079.81201172],0.9759537577629089,21635.1890625,0.9850034952163697,7336.83173828125,0.0025307808998967095,1264.4518702226985,0.001324433374988468,1407.5903669096442,0.981082291,0.000300981458,20178.9053,0.981025694,0.996770829,7395.59022,False,False,9391248.5,4339594.16,8115954.21,27574.495519999997
6,80,8.917736914055158,3.500572267001623,2.8357293747781007,20,1.9999671710775377,3.50013894574911,0.967942237367,25860.9448493405,[0.96612686 0.97068071 0.9623782  0.97004479 0.97048068],"[17715.08984375 19071.54882812 18982.26367188 18940.64648438
 20529.56835938]",[0.98615277 0.98607057 0.98672253 0.98278022 0.98348767],[8667.99023438 6608.71630859 7754.88867188 6548.82958984 4485.17382812],0.9679422497749328,19047.8234375,0.9850427508354187,6813.1197265625,0.0032440020701046267,893.0951485393269,0.0015904437204859664,1404.1677596928168,0.987161088,0.000289668583,17836.9202,0.987134301,0.997782419,8130.79967,False,False,7227269.24,5874590.63,8780782.58,25967.71987
7,80,9.999921248362757,3.7179915908367076,2.889448462639109,20,1.999894341875796,4.036642677633817,0.9757426482579465,28189.588621616327,[0.97425634 0.97808629 0.97172135 0.9770453  0.97760391],"[19545.12695312 20252.50195312 20929.953125   20748.62890625
 22700.09570312]",[0.98581076 0.98569715 0.98663479 0.98309857 0.98389727],[9252.83398438 7020.03759766 8361.03125    7037.21386719 5100.52294922],0.9757426381111145,20835.261328125,0.9850277066230774,7354.3279296875,0.002409722864266274,1048.630931625042,0.001314801371334155,1407.8156881867646,0.986079887,0.00027806257,19577.157,0.986028601,0.997630259,8411.23623,False,False,7577056.02,6324398.01,9371244.4,27988.39323
8,80,8.579875544792237,3.5000495318566,2.839064552593755,20,1.9993561365018107,3.500575200874712,0.9656256180322398,25428.122594879344,[0.96369672 0.96837908 0.95961273 0.96800917 0.96843052],"[17277.28515625 18745.13671875 18518.40625    18510.0078125
 20011.7265625 ]",[0.98613608 0.98603243 0.98668957 0.98275387 0.98344004],[8670.40722656 6611.00634766 7757.83837891 6551.52832031 4487.26464844],0.9656256437301636,18612.5125,0.9850103974342346,6815.608984375,0.0034930180064447185,869.2047437563854,0.0015930621329016523,1404.3404810740706,0.987231892,0.000287380636,17372.4621,0.987205044,0.997797082,8133.79369,False,False,7125267.8,5749436.99,8614612.65,25506.255790000003
9,80,9.999979293387078,3.509393933107319,2.8807029656636565,20,1.9997903018389371,3.844851236106885,0.9754928393799197,27831.57688180629,[0.97400928 0.97803146 0.97145665 0.97676671 0.97720009],"[19292.890625   20295.83398438 20654.74023438 20581.08007812
 22439.21875   ]",[0.98588157 0.98579979 0.98662555 0.98298901 0.98371154],[9059.94824219 6889.09619141 8164.04003906 6880.46728516 4900.56738281],0.9754928350448608,20652.752734375,0.9850014925003052,7178.823828125,0.002427913957028679,1017.1742913983454,0.0013973852405078115,1405.1826361220717,0.986963498,0.000278779762,19440.831,0.986923013,0.99777846,8446.95853,False,False,7627953.98,6326712.48,9394025.69,27887.78953
