Solvent_Index alias Run_Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T1 RR_T1 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR CAPEX OPEX TAC TimeCost 
0 C4H6O2-N1 0 80 8.551604766588746 3.500140154129302 2.8242457081488497 20 1.9981497155008092 3.500637261988678 0.987219103 0.000294606198 17303.4422 0.987192314 0.997784548 8120.29573 False False 7110390.63 5733004.92 8592198.25 23.235590934753418 
0 C4H6O2-N1 1 80 9.999948231169759 4.863809479276647 2.891663415996692 20 1.9999434641607114 4.013779786481499 0.98108222 0.000300987165 20179.3451 0.981025623 0.996770818 7395.58993 False False 9391377.78 4339656.42 8116068.45 21.506635665893555 
0 C4H6O2-N1 2 80 9.998490708081459 3.8226606179467795 2.892712825945283 20 1.999894341875796 4.036642677633817 0.985633451 0.000278171965 19640.4273 0.985581431 0.997555648 8316.61688 False False 7533480.1 6313934.79 9343258.66 21.419779539108276 
0 C4H6O2-N1 3 80 9.999921248362757 4.44444339650184 2.888670649025418 20 1.9998766263338377 4.036642677633817 0.982922916 0.000292599467 19963.6741 0.98286712 0.997084826 7761.59045 False False 7330229.42 6249634.58 9197228.34 21.437920093536377 
0 C4H6O2-N1 4 80 9.999921248362757 4.44444339650184 2.889448462639109 20 1.999894341875796 4.036642677633817 0.98292392 0.000292234132 19965.4792 0.982868116 0.99708572 7762.10962 False False 7330570.96 6249941.03 9197672.13 21.492510080337524 
0 C4H6O2-N1 5 80 9.999621090809034 4.863809479276647 2.891663415996692 20 1.9999434641607114 4.013779786481499 0.981082291 0.000300981458 20178.9053 0.981025694 0.996770829 7395.59022 False False 9391248.5 4339594.16 8115954.21 21.483251810073853 
0 C4H6O2-N1 6 80 8.917736914055158 3.500572267001623 2.8357293747781007 20 1.9999671710775377 3.50013894574911 0.987161088 0.000289668583 17836.9202 0.987134301 0.997782419 8130.79967 False False 7227269.24 5874590.63 8780782.58 21.442426204681396 
0 C4H6O2-N1 7 80 9.999921248362757 3.7179915908367076 2.889448462639109 20 1.999894341875796 4.036642677633817 0.986079887 0.00027806257 19577.157 0.986028601 0.997630259 8411.23623 False False 7577056.02 6324398.01 9371244.4 21.504416465759277 
0 C4H6O2-N1 8 80 8.579875544792237 3.5000495318566 2.839064552593755 20 1.9993561365018107 3.500575200874712 0.987231892 0.000287380636 17372.4621 0.987205044 0.997797082 8133.79369 False False 7125267.8 5749436.99 8614612.65 21.460466623306274 
0 C4H6O2-N1 9 80 9.999979293387078 3.509393933107319 2.8807029656636565 20 1.9997903018389371 3.844851236106885 0.986963498 0.000278779762 19440.831 0.986923013 0.99777846 8446.95853 False False 7627953.98 6326712.48 9394025.69 21.441187143325806 
0 C4H6O2-N1 10 80 9.299122980012203 3.50057237197087 2.8428557435398547 20 1.999267991810827 3.5196422559629568 0.987095179 0.000288262271 18382.7472 0.987067678 0.997776011 8151.78573 False False 7348847.46 6021291.58 8976371.93 21.567323207855225 
0 C4H6O2-N1 11 80 9.296572801944786 3.5009346066788956 2.8388796024165575 20 1.9984880905101194 3.5005239229191467 0.987089241 0.000290148032 18371.4335 0.987062375 0.997772295 8130.80625 False False 7343680.95 6016734.13 8969736.95 21.47854256629944 
0 C4H6O2-N1 12 80 9.79367836693695 3.500581421265357 2.8337675806503353 20 1.998779390220386 3.5011242462592795 0.986984324 0.000297921645 19053.8679 0.986957494 0.997751139 8127.49854 False False 7492039.04 6200839.53 9213499.34 21.45288109779358 
0 C4H6O2-N1 13 80 9.657226205883486 3.50129601385007 2.837215493277768 20 1.998693655692798 3.500110642169505 0.987013381 0.000294446866 18870.9926 0.986986552 0.997758381 8128.70503 False False 7451834.45 6150898.03 9147390.98 21.47969365119934 
0 C4H6O2-N1 14 80 9.99976655521176 3.529808748682476 2.8408769572034576 20 1.9996648270040132 3.5007152160073294 0.986826322 0.000297881357 19371.7523 0.986799376 0.997728928 8106.08102 False False 7541197.14 6277485.98 9309912.99 21.458220958709717 
0 C4H6O2-N1 15 80 9.860454467860992 3.501438720467937 2.839681670974002 20 1.9998626271422946 3.5000298418465565 0.986974616 0.000295934807 19159.2768 0.986947815 0.997753769 8131.90843 False False 7513955.92 6228163.44 9249636.35 21.48596978187561 
0 C4H6O2-N1 16 80 9.266988384719129 3.5009346066788956 2.8388796024165575 20 1.9984880905101194 3.5005239229191467 0.987095122 0.000289911442 18330.2016 0.987068255 0.997773289 8130.83601 False False 7334681.99 6005679.42 8955063.63 21.60325598716736 
0 C4H6O2-N1 17 80 9.612361658410846 3.5014890899316358 2.836771089957782 20 1.9986628895019416 3.5000336070438434 0.987021109 0.000294114951 18807.6777 0.986994283 0.997759335 8128.10531 False False 7438027.19 6133930.04 9124870.88 21.445576429367065 
0 C4H6O2-N1 18 80 9.680009941671708 3.5011062406745217 2.839085867276413 20 1.999518867669546 3.5006061399291815 0.987011926 0.000293833379 18906.3869 0.986985097 0.997759494 8131.93741 False False 7459762.64 6160474.44 9160155.43 21.452518939971924 
0 C4H6O2-N1 19 80 9.077527749215061 3.500614143047452 2.839960956082328 20 1.9992950614145584 3.5004148930299523 0.98713491 0.000288386314 18068.1225 0.987108064 0.997780878 8133.24086 False False 7277629.42 5935608.0 8862050.53 21.63415217399597 
