,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_DIST_C4H8_T1,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
0,80,9.998732434023019,3.504680537389439,3.652381200471434,20,1.9423805500242708,3.500022515986848,0.9819695903007574,32201.35018729057,[0.9810316  0.98444957 0.98728001 0.97770393 0.97938293],"[24373.85546875 24827.515625   24765.44921875 24261.36328125
 27394.20898438]",[0.9828757  0.97205794 0.97994471 0.97997963 0.98621142],[7178.54589844 7155.76660156 7347.50390625 7093.75976562 6608.76953125],0.9819696068763732,25124.478515625,0.9802138805389404,7076.869140625,0.0034674874327005763,1155.6096452959473,0.004684068586958201,248.67998966401098,0.996739057,0.00269209145,23253.1923,0.996739101,0.999922126,7271.17882,False,False,8726995.24,6703164.19,10212418.2,30524.37112
1,80,6.190442152551817,3.502719954961242,3.336863621180991,20,1.7788741122525453,3.5005475056832154,0.9500134688450705,25469.814970801835,[0.94755012 0.95255089 0.96054858 0.94302559 0.94639212],"[17914.43554688 19083.05859375 18137.72265625 18343.54296875
 20048.76757812]",[0.98277342 0.97280854 0.97996759 0.97961468 0.98581064],[6916.91650391 6818.82373047 6995.54980469 6780.20507812 6310.05175781],0.9500134587287903,18705.50546875,0.9801949739456177,6764.309375,0.006089988414950639,777.9569720173242,0.004315829796795761,239.30547140336975,0.993626851,0.00564890528,17073.558,0.993626959,0.999891478,6996.99639,False,False,7295081.63,5101890.12,8035350.44,24070.55439
2,80,9.365452582419811,3.5067515647137952,3.459938204120299,19,1.8464596170764964,3.5006395394965617,0.9761009231397008,30373.541000858077,[0.97474766 0.97890043 0.98253697 0.97110254 0.97321701],"[22679.9375     23356.375      23125.703125   22753.85351562
 25441.26367188]",[0.98266661 0.97334176 0.97965771 0.97954547 0.98614407],[7039.73876953 6920.81689453 7134.12255859 6945.78417969 6470.11035156],0.9761009216308594,23471.4265625,0.9802711248397827,6902.11455078125,0.0041083361242571685,1015.3212110854341,0.004222527582160326,228.75864292693254,0.996093012,0.00333144036,21823.9873,0.996093089,0.999916827,7096.46607,False,False,8357876.67,6353093.39,9713919.32,28920.453370000003
3,80,6.515701207479759,3.520540415000951,3.4504304931194563,20,1.830564004820233,3.5013593871761204,0.9570802409632624,26512.00542731757,[0.95481604 0.95972997 0.96686482 0.95050621 0.95348418],"[18801.95507812 19918.15234375 19050.04882812 19253.20117188
 21191.83203125]",[0.98270535 0.97231412 0.97981024 0.97965801 0.98580837],[6998.66601562 6931.53076172 7117.10058594 6884.14550781 6413.38183594],0.9570802450180054,19643.037890625,0.9800592184066772,6868.96494140625,0.0057277442960748355,858.5429803295704,0.004478042674119554,240.8711540208903,0.994863946,0.00441724934,17865.9914,0.994864033,0.999895838,7067.74084,False,False,7477151.71,5286319.23,8292992.62,24933.732239999998
4,80,9.98660671738582,3.504543548815319,3.459241792940163,20,1.837031099105769,3.5002121906799477,0.9788964717991341,31176.70463368926,[0.97775012 0.98163408 0.98471653 0.97420043 0.97618121],"[23527.7265625  24100.43945312 23986.9140625  23452.44921875
 26421.390625  ]",[0.98273361 0.97235841 0.97984993 0.9796983  0.98586363],[7007.57519531 6942.37207031 7128.22265625 6894.21484375 6422.21386719],0.9788964748382568,24297.783984375,0.9801007747650147,6878.9197265625,0.0037975579532181654,1091.134220470286,0.0044790947388158595,241.47238472117579,0.996087975,0.00335734729,22679.5207,0.996088027,0.999919827,7095.56869,False,False,8583726.37,6581218.03,10032861.5,29775.08939
5,80,8.376126320799134,3.5031048832385507,3.647924112452106,20,1.9577791117623313,3.5010648775555984,0.9748454350938693,30038.21366166926,[0.9733786  0.97751093 0.98178226 0.969778   0.9717775 ],"[22101.03125    22882.83398438 22424.95507812 22386.35351562
 24902.92773438]",[0.98311275 0.97267884 0.98032552 0.98025221 0.98661709],[7205.87890625 7178.14941406 7368.58300781 7116.03222656 6624.3125    ],0.9748454570770264,22939.6203125,0.9805972814559937,7098.5912109375,0.004300397470134056,1013.1156683809213,0.004592609554043385,251.38823055358262,0.996635306,0.00273574772,20992.8255,0.996635357,0.999913794,7295.7887,False,False,8221937.98,6105621.02,9411784.0,28288.6142
6,80,7.754914040508873,3.5083161733457695,3.6439896396913807,20,1.929654917510187,3.5000893765029155,0.9713425980941979,29159.7782040351,[0.96966559 0.97403336 0.97898942 0.96593219 0.96809244],"[21239.11523438 22134.03320312 21529.68359375 21619.26757812
 23991.77929688]",[0.98275739 0.97178739 0.97976398 0.97984034 0.98600566],[7157.38330078 7134.67724609 7326.99951172 7073.42236328 6592.52392578],0.9713425993919372,22102.77578125,0.9800309538841248,7057.00126953125,0.004655373077005928,987.6675236694792,0.004715814081370869,246.98907485723163,0.996475842,0.00286431989,20126.942,0.996475898,0.999909462,7247.91955,False,False,8014688.48,5862044.19,9084869.07,27374.861549999998
7,80,9.507574383790978,3.5042578430667297,3.450117150833605,17,1.8811936817769832,3.501460628306411,0.9765915335190396,30561.148458425705,[0.9752745  0.97939175 0.98290962 0.97164202 0.97373962],"[22830.65234375 23490.69726562 23285.11132812 22872.18164062
 25611.50585938]",[0.98280531 0.97548485 0.97956997 0.97919637 0.98669112],[7117.55322266 6883.71728516 7124.93701172 7028.72705078 6560.65722656],0.9765915036201477,23618.0296875,0.9807495236396789,6943.118359375,0.004052779638251633,1027.3507500343742,0.003769595185532158,210.05684832582753,0.996064191,0.00336652632,21990.4913,0.9960643,0.999917498,7127.47982,False,False,8335092.16,6413008.09,9764672.04,29117.971120000002
8,80,7.699472419305033,3.5002150456773005,3.4410767474347868,20,1.828240453729235,3.50140714012364,0.9659842532051908,28013.63198872114,[0.96403116 0.96883112 0.97434932 0.96007037 0.96263903],"[20329.63867188 21292.51171875 20660.12109375 20668.62890625
 22801.05273438]",[0.98273832 0.97242481 0.97986782 0.97968799 0.98585784],[6995.32275391 6925.19873047 7110.08251953 6878.44482422 6407.14990234],0.9659842014312744,21150.390625,0.9801153540611267,6863.23974609375,0.005060791729156601,882.1537439810106,0.0044552122942454085,241.02503250433642,0.995686278,0.00367212349,19458.0387,0.995686344,0.999906774,7087.05986,False,False,7852242.19,5722580.06,8880082.89,26545.098560000002
9,80,8.487198783555419,3.501032898614642,3.42000296746137,20,1.814595498743008,3.500176693779035,0.9705249114504962,28954.84127883397,[0.96881109 0.97341305 0.97803324 0.96498579 0.96738136],"[21312.265625   22154.828125   21704.55273438 21550.21679688
 23868.24804688]",[0.98269099 0.97237229 0.97980189 0.97961134 0.98575521],[6971.62939453 6897.25830078 7080.72753906 6852.21240234 6382.2734375 ],0.9705249071121216,22118.022265625,0.9800463438034057,6836.82021484375,0.004652255306795152,917.3057095823935,0.004443541078939387,240.06947002773154,0.995838689,0.00355730093,20489.0386,0.995838749,0.999911694,7061.79477,False,False,8087909.14,6000979.65,9253247.64,27550.83337
10,80,9.162053343798473,3.5133377717231604,3.4169160238964986,20,1.8320024217178015,3.5010072076054293,0.9742317342306362,29887.180494744272,[0.97275317 0.97709227 0.98100108 0.96903116 0.97128099],"[22234.48632812 22952.59960938 22679.73828125 22348.3828125
 24913.77929688]",[0.98295897 0.973046   0.9802326  0.97992355 0.98621899],[7002.63623047 6922.21386719 7104.74609375 6876.72558594 6400.59326172],0.974231731891632,23025.797265625,0.9804760217666626,6861.3830078125,0.004288256884317075,977.2056292285465,0.004352386773534375,243.08066264874486,0.995906614,0.00351247327,21425.4394,0.995906671,0.999914995,7071.31957,False,False,8300750.24,6255651.0,9593505.55,28496.75897
11,80,6.402764192831835,3.5348725230321345,3.459241792940163,20,1.8408484208313638,3.5004215258421914,0.9564002362526857,26434.40708661566,[0.95412493 0.95901304 0.9662959  0.94976991 0.95279735],"[18703.44140625 19819.3046875  18945.33203125 19172.57226562
 21108.71289062]",[0.98278779 0.97249359 0.97993672 0.97976196 0.98595816],[7014.36816406 6948.12109375 7133.81445312 6899.83837891 6426.53662109],0.9564002275466919,19549.87265625,0.9801876425743103,6884.5357421875,0.005777020964704722,863.3478220031063,0.004460991969296966,242.08956856630974,0.994767781,0.00449992518,17749.5716,0.994767872,0.999894154,7065.05444,False,False,7444822.54,5250677.45,8244350.81,24814.62604
12,80,9.74433308362672,3.5040113565770374,3.4410767474347868,20,1.828240453729235,3.50140714012364,0.9775185962311429,30760.406988427196,[0.97627062 0.98030716 0.98362321 0.97266495 0.97472715],"[23117.78515625 23742.015625   23580.765625   23103.4296875
 25941.82617188]",[0.98273832 0.97242481 0.97986782 0.97968799 0.98585784],[6995.32275391 6925.19873047 7110.08251953 6878.44482422 6407.14990234],0.977518618106842,23897.164453125,0.9801153540611267,6863.23974609375,0.003948413125062303,1052.8312199007287,0.0044552122942454085,241.02503250433642,0.996021595,0.00341765729,22291.8742,0.996021648,0.999918521,7081.97734,False,False,8497321.01,6480913.66,9897812.23,29373.85154
13,80,7.708688670607598,3.502719954961242,3.415926505089114,20,1.8210512267421461,3.5005475056832154,0.9653737820466894,27903.576094696058,[0.96338928 0.96823543 0.9738065  0.95940614 0.96203154],"[20246.22265625 21207.83984375 20581.28710938 20574.69726562
 22681.72851562]",[0.98281223 0.97268462 0.97999769 0.9797498  0.98596269],[6983.41503906 6905.62451172 7088.49609375 6860.59472656 6387.96191406],0.9653737783432007,21058.355078125,0.9802414059638977,6845.21845703125,0.0050994389223617,869.3405327942114,0.0043988237761222425,241.35085291248478,0.995573736,0.0037867899,19401.4515,0.995573803,0.999906398,7068.69348,False,False,7837730.75,5712892.16,8864559.72,26470.144979999997
