Solvent_Index alias Run_Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T1 RR_T1 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR CAPEX OPEX TAC TimeCost 
0 C8H8O-D3 0 80 9.989874721161309 3.5000471956822894 1.8867719417799715 18 0.3412121261358165 3.50000130072334 0.97062364 0.0293761921 20875.6244 0.956699595 0.99999997 11322.3322 True True 7329072.84 8216022.08 11163150.8 4.289677143096924 
0 C8H8O-D3 1 80 9.989693071992765 3.500016803714351 1.88682975443557 15 0.29574385080343635 3.500001056343311 0.97062623 0.0293736023 20875.6212 0.97062208 0.999998852 11222.3227 True True 7197475.57 8178988.38 11073199.9 2.45176100730896 
0 C8H8O-D3 2 80 9.98944399576369 3.500220794810446 1.8869016644713759 14 0.28707564931808544 3.500000558871357 0.970628671 0.0293711613 20875.7831 0.970628435 0.999999893 11202.7164 True True 7183533.27 8172378.14 11060983.2 2.4647772312164307 
0 C8H8O-D3 3 80 9.989725099845069 3.500005087780865 1.8872058935099842 17 0.32466111223768845 3.5000021608313197 0.970643601 0.0293562313 20877.433 0.970217012 0.999999956 11290.7852 True True 10444283.4 8204270.05 12404071.0 2.473198652267456 
0 C8H8O-D3 4 80 9.9916876274222 3.5000004535195046 1.8867644535806958 16 0.3093721936906224 3.5000039363921323 0.970625182 0.0293746508 20878.1056 0.970622941 0.99999936 11257.3616 True True 7272769.04 8192624.54 11117112.6 2.50007963180542 
0 C8H8O-D3 5 80 9.990817511533159 3.500033716457027 1.8865247137048244 13 0.2732153712228146 3.500000573338797 0.970613169 0.0293866636 20875.7514 0.970163848 0.999994722 11179.3925 True True 7116470.2 8164738.72 11026376.7 2.526721715927124 
0 C8H8O-D3 6 80 9.989513336776715 3.5000116837472675 1.8868596136279134 10 0.2606847121080646 3.5000024036077213 0.970627455 0.0293723769 20875.5091 0.970514182 0.999969781 11170.3395 True True 6987596.08 8165483.25 10975299.1 2.560380458831787 
0 C8H8O-D3 7 80 9.989659271460743 3.5000021823241556 1.8868581443976977 12 0.2656918837424762 3.5000002727437782 0.970627551 0.0293722809 20875.6965 0.970625077 0.999999297 11171.0415 True True 7146430.91 8164014.86 11037700.5 2.520008087158203 
0 C8H8O-D3 8 80 9.989691256186797 3.5000153342812013 1.886818688586382 11 0.26115447843100287 3.5000003926497927 0.970625724 0.0293741085 20875.5652 0.970519478 0.999971646 11167.1447 True True 7025087.1 8162668.43 10987559.9 2.4817752838134766 
0 C8H8O-D3 9 80 9.989725317894603 3.5000014698718194 1.8867971525638885 20 0.3737877929656913 3.50000034093219 0.970624808 0.0293750243 20875.4994 0.970624808 0.999999956 11393.1097 True True 7407588.98 8241896.18 11220597.4 2.5062999725341797 
0 C8H8O-D3 10 80 9.989512671035605 3.5000036134573036 1.8868574087182997 9 0.26313150410257585 3.500000034602529 0.970627379 0.0293724535 20875.4912 0.969091265 0.999590155 11361.4499 False False 6962421.58 8249448.57 11049141.4 2.4552693367004395 
