Solvent_Index alias Run_Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T1 RR_T1 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR CAPEX OPEX TAC TimeCost 
0 C5H8O2-D1 0 62 9.841747907561595 3.510152537337618 2.2728784104895436 17 1.2947843590274744 3.5085443376580847 0.991115747 0.00846157033 19250.5109 0.991115864 0.999907016 9705.96052 False False 6582105.57 6605145.03 9251907.11 4.262255668640137 
0 C5H8O2-D1 1 57 9.318399808446763 3.5642044148311096 2.5229028118059498 9 1.6181954816896744 3.506525814434894 0.990737209 0.00882709941 19225.4894 0.990722807 0.99991067 10518.1097 False False 6076138.49 6694280.41 9137585.65 2.44657039642334 
0 C5H8O2-D1 2 79 9.292029196148588 3.5010366766441505 2.1312780347093367 8 1.3818552896693623 3.5039729083894704 0.996461199 0.00311283907 18264.9175 0.996272415 0.9998557 9304.25083 False False 6678331.14 6324025.43 9009481.25 2.4430744647979736 
0 C5H8O2-D1 3 51 9.373374897059485 3.501212891667298 2.6667829205409803 8 1.766714744179031 3.52198063902466 0.987252778 0.0123262089 19596.2808 0.98705086 0.999882969 11129.2188 False False 5908541.37 6885761.35 9261673.3 2.4023847579956055 
0 C5H8O2-D1 4 48 9.988166503473433 3.5270848357546103 2.605973636253681 8 1.9188234875979666 3.5002378031628076 0.982602846 0.0169762372 20244.5243 0.982428768 0.999885526 11230.6658 False False 5922123.8 7132224.28 9513597.93 2.380906343460083 
0 C5H8O2-D1 5 49 9.610575563042648 3.5055161375966315 2.667060929750562 9 1.7333621843079425 3.504425433074406 0.985112331 0.0144680348 19900.6504 0.985098547 0.999918556 11096.6511 False False 5922371.59 6958489.58 9339962.87 2.4500834941864014 
0 C5H8O2-D1 6 56 9.33930795278778 3.5228876729970207 2.548111293209492 8 1.658335445220461 3.5135931033372376 0.989999408 0.00957387384 19282.4266 0.989798492 0.999876648 10675.3343 False False 6028424.83 6741960.14 9166079.01 2.4584696292877197 
0 C5H8O2-D1 7 62 9.841653687140935 3.5073138170655844 2.2737555518867167 12 1.2997062696248882 3.507774011530139 0.991114178 0.00846371066 19251.0504 0.991113894 0.999907057 9665.25614 False False 6390070.39 6599708.64 9169250.54 2.419677972793579 
0 C5H8O2-D1 8 80 9.83926243597362 3.506961412293141 1.950440198757011 19 1.2164057260142516 3.500996637580144 0.995167971 0.0044066735 18547.1922 0.995168013 0.999890959 8801.1704 False False 7166741.79 6350197.02 9232049.98 2.47408127784729 
0 C5H8O2-D1 9 70 9.23223498980246 3.5205035679912178 2.2828392389892698 10 1.3753526313170354 3.5145125001194097 0.994864153 0.00470679054 18527.9847 0.99485561 0.999904103 9675.01699 False False 6468687.17 6404587.27 9005742.14 2.447732925415039 
0 C5H8O2-D1 10 80 9.840189451667856 3.5004674210730733 1.950440198757011 11 1.2293387032673944 3.5104510883563376 0.995172828 0.00440313254 18545.6001 0.995172477 0.999891152 8762.53017 False False 6884844.86 6346670.59 9115168.63 2.4761481285095215 
0 C5H8O2-D1 11 63 9.841896914935774 3.5110995604889754 2.2483772736865544 14 1.3270124181844614 3.50038539768096 0.991694397 0.00788236153 19194.6069 0.991694526 0.999905871 9654.06913 False False 6501559.16 6595681.48 9210054.66 2.40837025642395 
0 C5H8O2-D1 12 60 9.328481639938467 3.5052266511362795 2.450191695616619 8 1.598272696638542 3.514723927328421 0.991749243 0.00782687825 19017.4883 0.991552525 0.999873192 10394.2107 False False 6140763.77 6648776.29 9118068.31 2.4604618549346924 
0 C5H8O2-D1 13 80 9.842636078591745 3.5014769080007424 1.950440198757011 20 1.1912226028054522 3.5018028330908426 0.995171922 0.00440384051 18549.4237 0.99517195 0.999891246 8779.55632 False False 7198409.06 6343063.32 9237650.17 2.4542484283447266 
0 C5H8O2-D1 14 80 9.839335255398176 3.501264049985091 1.950440198757011 13 1.1544487427565873 3.5240896606980767 0.995172276 0.00440352126 18544.7675 0.995172377 0.999891244 8685.88365 False False 6942653.23 6319171.11 9110914.75 2.5075759887695312 
0 C5H8O2-D1 15 53 9.808478295254242 3.5042682313998155 2.520842048444305 8 1.6425782744917834 3.500465601957006 0.987522687 0.0120577842 19798.166 0.987327018 0.999877735 10652.5275 False False 6014265.5 6893213.76 9311638.95 2.4163098335266113 
0 C5H8O2-D1 16 77 9.351633622711292 3.5538648127045613 2.1297943206552863 8 1.438821971071159 3.5016933348217183 0.995958339 0.00360534084 18353.6946 0.995778683 0.9998553 9350.73239 False False 6609857.0 6362419.04 9020340.39 2.480196475982666 
0 C5H8O2-D1 17 61 9.980163318108401 3.5110995604889754 2.2740462944377415 11 1.3270124181844614 3.5173557629849777 0.990808514 0.00876919931 19435.3599 0.990808319 0.999907018 9710.58078 False False 6348726.05 6662461.71 9215378.44 2.456348419189453 
0 C5H8O2-D1 18 62 9.841747907561595 3.510152537337618 2.2728784104895436 14 1.2947843590274744 3.5085443376580847 0.991115747 0.00846157033 19250.5109 0.991115886 0.999907008 9675.21313 False False 6466848.88 6600133.01 9200548.68 2.471301794052124 
0 C5H8O2-D1 19 55 9.990834855897448 3.583514576160959 2.4163704648924385 8 1.5566113637276262 3.526905138390532 0.987932236 0.0116325316 19831.6081 0.98773409 0.999868688 10265.4812 False False 6050345.99 6847008.79 9279942.48 2.507420063018799 
