MAE_train,MSE_train,RMSE_train,R2_train,MAE_test,MSE_test,RMSE_test,R2_test
722.9453,1110054.5,1053.5912,0.9984667362028921,809.90125,1127128.4,1061.663,0.998042803452945
1022.74536,2052524.5,1432.6635,0.9971649480735576,966.77344,1524255.1,1234.6073,0.9973532144277113
878.52496,1797548.2,1340.7268,0.9975171351026497,840.94025,1210340.0,1100.1545,0.9978983105609217
1077.2201,2073029.1,1439.8018,0.9971366264239362,1120.1565,2057288.6,1434.3252,0.9964276308267589
1383.2214,3628958.2,1904.9824,0.9949874969698472,1432.1752,3386344.5,1840.2023,0.9941197982036099
