hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 8, 'elu')",581.8,"[707, 403, 874, 427, 498]",0.9948256705009888,"[0.9937803085552093, 0.9936714749027841, 0.9964981709606617, 0.9975265471325444, 0.9926518509537444]",1856.9557,"[2067.4895, 1798.9465, 1848.1935, 1317.3407, 2252.8079]"
"(1, 8, 'sigmoid')",904.2,"[1073, 913, 1235, 722, 578]",0.9947277488199786,"[0.9943270609921857, 0.996297122029544, 0.9952947987831429, 0.997179456410506, 0.9905403058845144]",1891.1481,"[1974.5264, 1376.0579, 2142.3433, 1406.7363, 2556.076]"
"(1, 8, 'softplus')",689.2,"[745, 388, 1071, 629, 613]",0.9945277559623404,"[0.9942636466859299, 0.9946747346771709, 0.9952094630715316, 0.9975404169881303, 0.9909505183889392]",1922.2203,"[1985.5317, 1650.204, 2161.6833, 1313.6421, 2500.0405]"
"(1, 8, 'tanh')",427.8,"[504, 352, 523, 331, 429]",0.9938759437323759,"[0.9948856086008518, 0.9962987660763772, 0.9935552572250452, 0.9971874208388789, 0.9874526659207261]",2021.2805,"[1874.804, 1375.7524, 2507.2795, 1404.7488, 2943.8179]"
"(1, 9, 'elu')",610.2,"[688, 442, 949, 511, 461]",0.9952834941629071,"[0.994803803362895, 0.9941657743146978, 0.9959662039624299, 0.997823614799933, 0.9936580743745794]",1785.8411,"[1889.7384, 1727.2637, 1983.613, 1235.7031, 2092.887]"
"(1, 9, 'sigmoid')",904.0,"[1098, 917, 1531, 693, 281]",0.99247542798817,"[0.9954711821064643, 0.997305984879316, 0.9949946676253028, 0.9972388263878319, 0.9773664789419356]",2098.6353,"[1764.2142, 1173.7268, 2209.614, 1391.8524, 3953.7688]"
"(1, 9, 'softplus')",462.4,"[147, 401, 810, 433, 521]",0.9921955519615195,"[0.9815564987127225, 0.9938798690947243, 0.9943617386621328, 0.9977081795199725, 0.9934714738180452]",2213.1992,"[3560.251, 1769.0796, 2345.1606, 1268.0507, 2123.4536]"
"(1, 9, 'tanh')",547.2,"[463, 596, 777, 423, 477]",0.9941775927528095,"[0.9943589934692095, 0.9963166080778858, 0.9905065242120963, 0.9962942907939705, 0.9934115472108856]",2026.016,"[1968.9614, 1372.4325, 3043.0747, 1612.4341, 2133.177]"
"(1, 10, 'elu')",500.8,"[454, 421, 781, 501, 347]",0.9953856074564241,"[0.9928777288606911, 0.9947241729139253, 0.9962769122955791, 0.9980847897906991, 0.9949644334212256]",1756.9485,"[2212.423, 1642.5261, 1905.6873, 1159.1897, 1864.9164]"
"(1, 10, 'sigmoid')",787.6,"[1175, 726, 802, 758, 477]",0.9935395232519333,"[0.9952546999301097, 0.9963373914826922, 0.9907876262714598, 0.9976020144796653, 0.9877158840957396]",2076.3982,"[1805.8877, 1368.555, 2997.6833, 1297.0884, 2912.7766]"
"(1, 10, 'softplus')",449.0,"[152, 369, 925, 647, 152]",0.9907076873396884,"[0.9800575790367225, 0.9947426349856648, 0.9945395938934486, 0.9982634998642531, 0.9859351289183526]",2374.0327,"[3702.0974, 1639.6498, 2307.876, 1103.7831, 3116.7578]"
