hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 1, 'elu')",43.4,"[45, 43, 43, 43, 43]",0.9832664848803713,"[0.9740576726142043, 0.9816846545034861, 0.9851410307955464, 0.98750936620297, 0.9879397002856499]",2166.2803,"[2730.203, 2247.9517, 2126.4658, 1888.2687, 1838.5123]"
"(1, 1, 'sigmoid')",1725.6,"[1081, 1773, 1943, 1979, 1852]",0.9954727176206847,"[0.9953518220319236, 0.9957623354449615, 0.9960736157753769, 0.9948989795261026, 0.9952768353250588]",1137.4612,"[1155.6647, 1081.2914, 1093.1013, 1206.7023, 1150.546]"
"(1, 1, 'softplus')",170.6,"[622, 60, 57, 57, 57]",0.9953709610376291,"[0.9957293360297856, 0.995407358412035, 0.995937608714858, 0.9947756955696127, 0.9950048064618541]",1149.9388,"[1107.7407, 1125.669, 1111.8723, 1221.1973, 1183.2148]"
"(1, 1, 'tanh')",769.0,"[448, 835, 696, 854, 1012]",0.9954780342476577,"[0.9951617365314984, 0.9958358246287405, 0.9960251178881584, 0.9949558317930901, 0.9954116603968014]",1136.9458,"[1179.0581, 1071.8745, 1099.8314, 1199.9589, 1134.0057]"
"(1, 2, 'elu')",34.8,"[37, 34, 34, 34, 35]",0.9833282406803207,"[0.9622416842761029, 0.9818368467762596, 0.9888536701408109, 0.9916615729488854, 0.9920474292595449]",2081.9773,"[3293.7964, 2238.5925, 1841.747, 1542.8142, 1492.9362]"
"(1, 2, 'sigmoid')",788.6,"[961, 73, 1148, 948, 813]",0.9950703461958218,"[0.9982016864884486, 0.9829411495889779, 0.9983770041620245, 0.997833522070964, 0.997998368668694]",1025.2979,"[718.82495, 2169.4731, 702.7854, 786.4094, 748.996]"
"(1, 2, 'softplus')",286.6,"[130, 1153, 37, 54, 59]",0.9938264987587576,"[0.9986331809673153, 0.9988325585299931, 0.9931655361475953, 0.9894878786070408, 0.9890133395418439]",1224.6871,"[626.6802, 567.54065, 1442.1693, 1732.2747, 1754.7704]"
"(1, 2, 'tanh')",314.6,"[574, 41, 876, 41, 41]",0.978688992047478,"[0.9984899352827328, 0.9653383963310957, 0.998593797446204, 0.9643101689542183, 0.9667126622231391]",2130.3184,"[658.7008, 3092.4575, 654.166, 3191.8599, 3054.4075]"
"(1, 3, 'elu')",33.8,"[33, 34, 34, 34, 34]",0.994690419129092,"[0.9923513203358125, 0.995501571431652, 0.9955323908964917, 0.9950426665910129, 0.99502414639049]",1226.6082,"[1482.4624, 1114.0632, 1166.0083, 1189.5854, 1180.9221]"
"(1, 3, 'sigmoid')",504.0,"[65, 805, 1017, 551, 82]",0.9951463184817451,"[0.9870181284181645, 0.9994173110144388, 0.9992648886436903, 0.9991678092687188, 0.9908634550637132]",978.5778,"[1931.3417, 400.95703, 472.97763, 487.39716, 1600.2155]"
"(1, 3, 'softplus')",67.2,"[128, 52, 52, 52, 52]",0.9911944285693959,"[0.9990090487288114, 0.9883065348175097, 0.9890948393135295, 0.989357378011723, 0.9902043419754065]",1510.2848,"[533.60095, 1796.1848, 1821.7135, 1742.994, 1656.9304]"
"(1, 3, 'tanh')",90.6,"[39, 40, 291, 42, 41]",0.9819251429472772,"[0.9791282139200003, 0.9771003575697184, 0.9995352825885593, 0.9769985735697481, 0.9768632870883598]",2089.4844,"[2448.8955, 2513.5862, 376.06116, 2562.4119, 2546.4683]"
"(1, 4, 'elu')",2119.6,"[241, 295, 9992, 34, 36]",0.9961018080368417,"[0.9992713445723369, 0.9992520746030352, 0.9994512814450709, 0.9911042302351804, 0.9914301093285849]",892.7611,"[457.56366, 454.26425, 408.6381, 1593.5414, 1549.7981]"
"(1, 4, 'sigmoid')",69.8,"[69, 70, 70, 70, 70]",0.9871982181323782,"[0.9844734406545267, 0.988463123732734, 0.9877171631286007, 0.98797788503198, 0.9873594781140494]",1912.8762,"[2112.166, 1784.1178, 1933.3628, 1852.5161, 1882.2181]"
"(1, 4, 'softplus')",164.4,"[243, 437, 47, 47, 48]",0.9947221092792159,"[0.9989096569568462, 0.9983862671761929, 0.9922333154114039, 0.991655818998624, 0.9924254878530125]",1152.9456,"[559.72156, 667.26025, 1537.3822, 1543.3464, 1457.0176]"
"(1, 4, 'tanh')",965.0,"[552, 1782, 274, 1878, 339]",0.9998301452428621,"[0.9998478774325089, 0.9998484545301455, 0.9998196742693024, 0.9998621238552928, 0.9997725961270602]",219.72995,"[209.06786, 204.48003, 234.25716, 198.38834, 252.4564]"
"(1, 5, 'elu')",4726.0,"[1249, 1721, 10000, 660, 10000]",0.9999219500729568,"[0.9999166552040202, 0.9999232579576128, 0.9999472487546086, 0.9999334911864926, 0.9998890972620493]",148.21046,"[154.74966, 145.5111, 126.701096, 137.78793, 176.30255]"
