MAE_train,MSE_train,RMSE_train,R2_train,MAE_test,MSE_test,RMSE_test,R2_test
74.117195,12741.173,112.8768,0.9999555644968062,75.47126,10733.163,103.60098,0.9999616735229485
59.59335,10501.749,102.47804,0.9999633746002851,58.818928,7822.534,88.44509,0.9999720669357594
66.0797,11494.731,107.213486,0.9999599115223486,65.67972,8970.652,94.71353,0.999967967182923
73.02737,13288.295,115.274864,0.9999536563789961,73.61096,10374.846,101.85699,0.9999629530236297
50.01649,9543.207,97.68934,0.9999667175685221,49.571873,6873.849,82.908676,0.9999754545437165
