,alias,GAMMA_C4H8_Aspen,GAMMA_C4H6_Aspen,S_Aspen,VP_Aspen,GAMMA_Solvent,Alpha_Aspen,MW_Aspen,RHO_Aspen,CPMX_Aspen,MUMX_Aspen,set
112,C6H12O-D3,1.30488147,1.12261955,1.16235413,1.51935398,1.17451534,2.2478514,100.16068,810.542479,214.532382,0.582736401,train
115,C9H16-D1,0.819807397,0.842314959,0.973278924,0.494327432,0.843475648,2.754523713,124.22604,753.657302,275.27391,1.00426701,train
116,C6H12O-E3,1.2848144,1.11175424,1.155664043,4.2671756,1.16314563,1.799370646,100.16068,822.186429,216.873422,0.666866041,test
118,C3H6CL2-D2,1.24806456,0.870066809,1.434446812,2.43434732,0.862945154,2.066323326,112.98604,1182.04039,165.684775,0.899774518,train
119,C7H7CL-D2,1.23677821,1.22890771,1.006404468,0.469929844,1.65465615,2.647914945,126.58528,1078.39579,174.50151,0.955956308,train
123,C14H22,0.737044993,0.806317703,0.914087574,0.001492382,0.742987067,5.310781349,190.32868,851.820669,351.752997,2.28821699,train
125,C8H14-D1,0.872248286,0.885802432,0.984698455,1.7541709,0.915097368,2.19093412,110.19916,742.493679,227.157921,0.676644504,train
127,C5H10O-1,1.27301456,1.01513374,1.254036301,4.93940906,1.23547628,1.670150317,86.1338,804.171982,160.157858,0.526958075,test
128,C6H12O-D2,1.13657093,0.957036939,1.187593586,1.65802411,1.07905893,2.177429156,100.16068,817.96252,192.510701,0.72520849,train
129,C7H14O-D1,1.03052633,0.903737465,1.140293913,0.609043443,0.944061458,2.645530207,114.18756,829.911034,207.730861,0.890417095,train
130,C8H16O-E1,0.944870457,0.855270416,1.104762236,0.177360864,0.826366553,3.215209384,128.21444,814.719716,236.049133,1.17906387,train
131,C9H18O,0.873803474,0.811332351,1.076998191,0.059904628,0.72324672,3.721588402,142.24132,821.983549,245.709133,1.45032849,train
141,C6H13N-N3,1.00361709,1.10641279,0.907091005,5.02429609,1.17079806,1.723496428,99.17596,774.601961,187.204995,0.675253915,train
148,C6H8-E3,1.06773017,1.07313406,0.994964385,8.71890411,1.08976284,1.501996543,80.12952,850.268974,143.778185,0.471701273,train
149,C8H12,0.957047031,0.977093663,0.979483408,2.09295903,0.9823724,2.126035777,108.18328,825.894728,211.660286,0.396857511,train
150,C10H16-D1,0.816671479,0.898907683,0.908515406,0.223384116,0.857990037,3.120317019,136.23704,840.113659,252.413566,0.929058411,train
151,C8H16O2-D4,0.908861508,0.839225528,1.08297648,0.175586383,0.722751647,3.269535224,144.21384,868.433925,258.675192,1.07285941,train
152,C9H10-E1,1.14536041,1.08689373,1.053792453,0.20645061,1.24704977,3.074623587,118.1784,959.534793,197.663538,1.35610372,test
153,C9H18O2-D1,0.801129337,0.790885351,1.012952555,0.078468888,0.648186712,3.64085237,158.24072,863.162236,271.911232,1.16930302,test
159,C8H14-D2,0.857865934,0.919012195,0.933465234,3.21623075,0.894781656,1.953393463,110.19916,737.846742,218.70008,0.337070321,train
