hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 8, 'elu')",346.0,"[404, 644, 386, 62, 234]",0.9324052383255561,"[0.9604723258177559, 0.9673711652019028, 0.9710245194759077, 0.8345527007551552, 0.9286054803770587]",0.032889836,"[0.02370364, 0.026000159, 0.02747663, 0.05011212, 0.03715663]"
"(1, 8, 'sigmoid')",912.0,"[1164, 1352, 832, 751, 461]",0.9657308152832542,"[0.9730931183862935, 0.9721495087943914, 0.9808720160793952, 0.9576789434528485, 0.944860489703342]",0.024780234,"[0.019556725, 0.024021031, 0.022324549, 0.025344934, 0.032653924]"
"(1, 8, 'softplus')",444.0,"[574, 410, 287, 777, 172]",0.9578363612504562,"[0.9646636335228796, 0.961835645252437, 0.9775797704458258, 0.9592082172627613, 0.9258945397683772]",0.027487766,"[0.02241173, 0.028119281, 0.024169527, 0.0248828, 0.037855502]"
"(1, 8, 'tanh')",502.6,"[778, 606, 375, 583, 171]",0.9583471300746483,"[0.9739472549864656, 0.9660974309893429, 0.9541054200122396, 0.9610959728951057, 0.9364895714900875]",0.027934428,"[0.019243814, 0.026502784, 0.034580305, 0.02430022, 0.035045028]"
"(1, 9, 'elu')",413.6,"[800, 482, 208, 58, 520]",0.938885924284978,"[0.9791527642916068, 0.9639520487328285, 0.9635527290127045, 0.841360487818859, 0.9464115915688913]",0.03132414,"[0.017214272, 0.027328482, 0.03081631, 0.049070287, 0.03219136]"
"(1, 9, 'sigmoid')",914.8,"[1338, 978, 864, 572, 822]",0.9720865293627174,"[0.9748960443742324, 0.9734841196436369, 0.9788517257159026, 0.9623753649784872, 0.9708253921013281]",0.022690427,"[0.018890154, 0.023438415, 0.023473918, 0.023897313, 0.023752341]"
"(1, 9, 'softplus')",342.6,"[322, 408, 171, 641, 171]",0.9570895259084221,"[0.9723287551472688, 0.9645424638846761, 0.9543406806227147, 0.9709325329710573, 0.9233031969163933]",0.02818885,"[0.01983256, 0.027103757, 0.03449156, 0.021004701, 0.038511682]"
"(1, 9, 'tanh')",360.4,"[440, 434, 356, 408, 164]",0.9510764322487525,"[0.9600112588285188, 0.9442657853166585, 0.9553918635814614, 0.9635995168711539, 0.9321137366459699]",0.03033045,"[0.023841485, 0.033981, 0.03409221, 0.023505338, 0.03623221]"
"(1, 10, 'elu')",476.6,"[817, 757, 183, 446, 180]",0.9622824991363471,"[0.9807769974902826, 0.9728112285560477, 0.9481539802701328, 0.9638441420223298, 0.9458261473429427]",0.026562214,"[0.016530083, 0.02373395, 0.0367541, 0.023426222, 0.032366723]"
"(1, 10, 'sigmoid')",749.2,"[1114, 836, 855, 595, 346]",0.9665673317739024,"[0.9751881750134319, 0.9738025735356092, 0.9801524532341268, 0.9667570519670678, 0.9369364051192762]",0.024440402,"[0.018779922, 0.023297243, 0.02274058, 0.022462737, 0.034921527]"
"(1, 10, 'softplus')",327.6,"[317, 401, 165, 594, 161]",0.9594126548668577,"[0.9745388802770591, 0.9660649824818859, 0.9548589092173996, 0.9699034982927895, 0.9316970040651544]",0.027510261,"[0.01902406, 0.026515467, 0.034295265, 0.021373268, 0.03634325]"
"(1, 10, 'tanh')",426.8,"[431, 423, 323, 703, 254]",0.9561360899334803,"[0.96929198675729, 0.9502352153579338, 0.9558856376042524, 0.9642293634804067, 0.9410382464675188]",0.028794605,"[0.020892493, 0.032109704, 0.033903, 0.023301091, 0.033766735]"
