hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 1, 'elu')",131.8,"[184, 158, 110, 104, 103]",0.9796550971815554,"[0.9750692480784814, 0.9807938512512873, 0.9814548967156684, 0.9824739058474359, 0.9784835840149038]",0.0062542437,"[0.006015373, 0.006335533, 0.0065892553, 0.0065671, 0.0057639573]"
"(1, 1, 'sigmoid')",3407.0,"[2741, 10000, 1411, 1327, 1556]",0.9860726851067166,"[0.9849363633638643, 0.9855660385348137, 0.9865884442923558, 0.9872345762302609, 0.9860380031122891]",0.0052038906,"[0.0046758414, 0.0054923194, 0.0056035244, 0.005604652, 0.004643116]"
"(1, 1, 'softplus')",4241.2,"[10000, 10000, 157, 878, 171]",0.9808207629362226,"[0.9756305834044692, 0.9815249398358525, 0.9835251925557424, 0.9836366828620671, 0.9797864160229812]",0.0060607726,"[0.0059472667, 0.006213781, 0.006210576, 0.006345513, 0.005586727]"
"(1, 1, 'tanh')",515.0,"[1291, 1132, 104, 24, 24]",0.587245563047022,"[0.9783453920054413, 0.9858140517999087, 0.9840197030050417, -0.008621069066223397, -0.0033302625090583238]",0.02126941,"[0.0056062182, 0.0054449285, 0.006116657, 0.049819008, 0.03936024]"
"(1, 2, 'elu')",179.2,"[631, 89, 63, 57, 56]",0.9816579081285248,"[0.9830251742808467, 0.9820405198598942, 0.9844082488982147, 0.9809898533407818, 0.9778257442628866]",0.0059645614,"[0.0049636085, 0.006126464, 0.006041839, 0.006839491, 0.005851407]"
"(1, 2, 'sigmoid')",1308.2,"[782, 1842, 1325, 1305, 1287]",0.9924665004832425,"[0.9916096215267309, 0.9933816546303775, 0.9932510316369092, 0.9930496118472442, 0.9910405827749508]",0.0038077608,"[0.0034896804, 0.003719099, 0.00397503, 0.004135572, 0.003719424]"
"(1, 2, 'softplus')",2299.2,"[10000, 1295, 148, 27, 26]",0.5478879003371192,"[0.9801963663456271, 0.9865330321184003, 0.9842345195211826, -0.11300797147184771, -0.09851644482776667]",0.022052076,"[0.0053612655, 0.005305153, 0.006075406, 0.05233355, 0.041185]"
"(1, 2, 'tanh')",291.0,"[626, 604, 74, 75, 76]",0.9829591218675582,"[0.9904693386871822, 0.9937688939000909, 0.9768714959836992, 0.9802082642472598, 0.9734776165195586]",0.0056129275,"[0.0037192588, 0.0036086568, 0.0073586046, 0.0069786757, 0.0063994415]"
"(1, 3, 'elu')",220.8,"[222, 90, 690, 58, 44]",0.9814190045352085,"[0.9814558002686192, 0.9822350208388854, 0.9860677539871171, 0.9832890809952552, 0.9740473665861652]",0.005947068,"[0.0051879873, 0.0060931994, 0.0057112644, 0.0064125564, 0.0063303323]"
"(1, 3, 'sigmoid')",1127.6,"[1036, 1504, 1490, 986, 622]",0.9937707258269575,"[0.9926985214125725, 0.9950292776614811, 0.9944601348016656, 0.9936009886336088, 0.993064706625459]",0.0034640841,"[0.0032553694, 0.0032230925, 0.0036013995, 0.0039681448, 0.0032724137]"
"(1, 3, 'softplus')",2595.8,"[2342, 10000, 598, 20, 19]",0.6247468402967358,"[0.9801863273268465, 0.9870704763871028, 0.9864951672439134, 0.05374476410513296, 0.11623746642068322]",0.020275721,"[0.005362624, 0.005198215, 0.005622977, 0.04825421, 0.03694057]"
"(1, 3, 'tanh')",284.2,"[503, 292, 330, 71, 225]",0.9923050454163038,"[0.9927854595998256, 0.9951965433376461, 0.9955490042799923, 0.9848802360975436, 0.9931139837665114]",0.003798571,"[0.0032359306, 0.0031683997, 0.0032281247, 0.006099631, 0.0032607673]"
"(1, 4, 'elu')",193.0,"[664, 108, 74, 66, 53]",0.980121279450956,"[0.9818828309015039, 0.9822949433373693, 0.9811573274636773, 0.9810423295116311, 0.9742289660405984]",0.0061981836,"[0.005127906, 0.006082914, 0.0066419095, 0.0068300446, 0.006308146]"
"(1, 4, 'sigmoid')",1168.2,"[3201, 448, 1079, 39, 1074]",0.7968906465966338,"[0.9956370174801921, 0.9957778923858888, 0.9965889295725323, 0.0016636940497674058, 0.9947856994947885]",0.012142947,"[0.00251644, 0.002970487, 0.0028259666, 0.049564358, 0.0028374866]"
"(1, 4, 'softplus')",2018.8,"[10000, 28, 25, 21, 20]",0.0087562584813913,"[0.9806692673103385, -0.1949620034471835, -0.23150372128001373, -0.25103959620478755, -0.25938265397139726]",0.041709505,"[0.0052968664, 0.049973533, 0.05369571, 0.05548385, 0.04409757]"
"(1, 4, 'tanh')",325.6,"[461, 398, 479, 88, 202]",0.9948304656735886,"[0.9960031693924423, 0.9963210796751745, 0.9967267681701647, 0.9890401916925907, 0.9960611194375709]",0.0031217958,"[0.0024085336, 0.00277283, 0.0027682802, 0.00519317, 0.0024661655]"
"(1, 5, 'elu')",272.0,"[1097, 95, 64, 54, 50]",0.9817593316319189,"[0.9927591757159053, 0.9856131649810431, 0.9757952414837227, 0.9802165330537639, 0.9744125429251594]",0.005903178,"[0.0032418198, 0.0054833456, 0.007527869, 0.0069772177, 0.0062856376]"
"(1, 5, 'sigmoid')",633.4,"[1732, 364, 369, 35, 667]",0.7962941175229583,"[0.9961525924413054, 0.995386596810576, 0.9961915102992601, -0.002650172305678211, 0.9963900603693283]",0.012097299,"[0.002363083, 0.0031050865, 0.0029860572, 0.049671326, 0.0023609442]"
"(1, 5, 'softplus')",264.0,"[1228, 27, 24, 21, 20]",0.004659586055153308,"[0.9801812225889597, -0.2152421227923782, -0.2334116908781101, -0.2504195849945474, -0.25780989364815743]",0.0418073,"[0.005363315, 0.050395805, 0.053737283, 0.055470098, 0.044070024]"
"(1, 5, 'tanh')",618.8,"[1422, 444, 461, 709, 58]",0.996234103521472,"[0.9977090726161181, 0.9983882935181376, 0.9985066473672163, 0.999187833711989, 0.9873786703938988]",0.0022713728,"[0.001823478, 0.0018352955, 0.0018698332, 0.0014136878, 0.004414569]"
"(1, 6, 'elu')",185.8,"[619, 95, 105, 59, 51]",0.9867429131045398,"[0.9921388353164092, 0.9871341772660626, 0.9895190672079295, 0.9845332988425326, 0.9803891868897652]",0.0050377697,"[0.003377834, 0.005185394, 0.0049536084, 0.006169215, 0.005502798]"
"(1, 6, 'sigmoid')",1221.4,"[2653, 1311, 738, 38, 1367]",0.7980292384260971,"[0.9984691265757761, 0.9979237109255972, 0.9980835443557066, -0.0012994989903272192, 0.996969309263733]",0.011498606,"[0.0014906117, 0.0020830848, 0.00211822, 0.04963786, 0.0021632495]"
"(1, 6, 'softplus')",406.4,"[1934, 28, 26, 22, 22]",0.07267441049974925,"[0.9804150519541617, -0.12126423163653577, -0.14603177524643174, -0.17172168860829418, -0.17802530396415372]",0.040376797,"[0.005331582, 0.048407983, 0.05179884, 0.053696167, 0.042649418]"
"(1, 6, 'tanh')",719.6,"[2419, 619, 448, 58, 54]",0.9942057558961412,"[0.9983596766499008, 0.9986626491045807, 0.9982144583035344, 0.9888908843864423, 0.9869011110362478]",0.0029970221,"[0.0015429775, 0.0016718053, 0.002044592, 0.005228424, 0.004497312]"
"(1, 7, 'elu')",717.6,"[2263, 43, 42, 1179, 61]",0.9783201535943459,"[0.9955484731366462, 0.959656383946345, 0.9571029650297489, 0.997609006368693, 0.9816839394902966]",0.005897866,"[0.0025418468, 0.009182277, 0.01002156, 0.002425606, 0.005318043]"
"(1, 7, 'sigmoid')",683.8,"[1292, 2038, 33, 28, 28]",0.3923226933203211,"[0.9983151497363133, 0.9991401194891513, -0.011403218778210045, -0.013765974758011001, -0.010672609087637897]",0.028203111,"[0.0015637795, 0.001340547, 0.048661318, 0.04994591, 0.039504]"
"(1, 7, 'softplus')",2702.0,"[1336, 2025, 10000, 85, 64]",0.9825933928193026,"[0.978743406825857, 0.9869151290174786, 0.9868555032767636, 0.9823466851207974, 0.978106239855617]",0.005747287,"[0.005554458, 0.00522935, 0.0055474536, 0.006590892, 0.0058142804]"
"(1, 7, 'tanh')",1088.2,"[2243, 480, 60, 1012, 1646]",0.9954217716489643,"[0.9988589109748955, 0.9976923359106785, 0.9828362627382836, 0.9987072409200615, 0.9990141077009019]",0.0025678999,"[0.0012869291, 0.0021960859, 0.0063391, 0.0017835689, 0.0012338164]"
"(1, 8, 'elu')",635.4,"[2900, 93, 56, 77, 51]",0.9838568443427771,"[0.9964270333542531, 0.9829101485291261, 0.9788601422381361, 0.9844737240188187, 0.9766131735735516]",0.005495806,"[0.002277243, 0.0059762965, 0.0070351395, 0.006181085, 0.0060092662]"
"(1, 8, 'sigmoid')",413.2,"[1958, 34, 28, 23, 23]",0.17370858183883114,"[0.9989513777873344, -0.02785909381887297, -0.03610771232752952, -0.03775576666013647, -0.028685895786639826]",0.037444297,"[0.0012336853, 0.04634787, 0.04925203, 0.05053341, 0.03985448]"
"(1, 8, 'softplus')",2605.0,"[1199, 1747, 10000, 15, 64]",0.7319234471655793,"[0.9792913777631125, 0.9871225162157403, 0.9926412636209433, -0.27799892996639475, 0.9785610081944952]",0.015330585,"[0.005482397, 0.005187744, 0.004150719, 0.056078486, 0.005753577]"
"(1, 8, 'tanh')",1161.4,"[2320, 555, 475, 1053, 1404]",0.9989010487967225,"[0.9991398620900933, 0.9983635814889359, 0.9981986510444854, 0.9993312413652025, 0.9994719079948953]",0.0014412168,"[0.0011173234, 0.001849312, 0.0020536226, 0.0012828201, 0.0009030059]"
"(1, 9, 'elu')",2565.2,"[10000, 1187, 409, 619, 611]",0.9950446288457687,"[0.993932623706407, 0.9965362264611023, 0.9941755296120312, 0.9970377386755415, 0.993541025773762]",0.003041744,"[0.0029675316, 0.0026905295, 0.0036927501, 0.0026998692, 0.0031580396]"
"(1, 9, 'sigmoid')",503.0,"[2406, 33, 28, 24, 24]",0.13051697140831947,"[0.9994000280143926, -0.08807469987910888, -0.08516345653529145, -0.08831865032997577, -0.08525836422841926]",0.038341876,"[0.00093316915, 0.047686163, 0.050404496, 0.051749848, 0.040935714]"
"(1, 9, 'softplus')",295.4,"[462, 377, 315, 285, 38]",0.9861409861575847,"[0.9861708410869516, 0.9914450436292573, 0.99109514774276, 0.993795135839037, 0.9681987624899179]",0.00483788,"[0.004480152, 0.0042283596, 0.004565991, 0.003907484, 0.0070074145]"
"(1, 9, 'tanh')",1254.4,"[2359, 929, 920, 1048, 1016]",0.9993682695870337,"[0.9993984442804925, 0.9994432497526873, 0.9993617620515051, 0.9994590197352574, 0.9991788721152265]",0.0011030529,"[0.0009343999, 0.0010786816, 0.0012223991, 0.0011537767, 0.0011260073]"
"(1, 10, 'elu')",1118.4,"[1039, 692, 438, 846, 2577]",0.9962947883829065,"[0.9937961702416903, 0.9969894349390405, 0.9948917866057119, 0.997375718319669, 0.9984208318084211]",0.0026140043,"[0.0030007153, 0.0025083434, 0.0034582487, 0.002541185, 0.0015615287]"
"(1, 10, 'sigmoid')",648.6,"[3144, 30, 25, 22, 22]",0.14899951286179303,"[0.9994818750790401, -0.08863511863471851, -0.0648156430241793, -0.05538186222519825, -0.04565168688597887]",0.037927575,"[0.0008671857, 0.047698442, 0.04992969, 0.050960757, 0.040181793]"
"(1, 10, 'softplus')",475.0,"[408, 1444, 290, 178, 55]",0.9894648743347562,"[0.9860959944003519, 0.9933814859203426, 0.9927212621317304, 0.9927328857029588, 0.9823927435183972]",0.0043564755,"[0.0044922596, 0.0037191461, 0.0041280957, 0.0042287502, 0.0052141272]"
"(1, 10, 'tanh')",1408.8,"[5157, 801, 64, 953, 69]",0.9959825600439369,"[0.9994796219724087, 0.9993430403790718, 0.9882914315472886, 0.9994391507425133, 0.9933595555784024]",0.0023306734,"[0.00086906913, 0.001171743, 0.005235686, 0.0011747734, 0.003202096]"
"(1, 11, 'elu')",2215.0,"[515, 77, 434, 49, 10000]",0.9926625008770495,"[0.9942112094622927, 0.9888441848974656, 0.9957658327707125, 0.984801467264279, 0.9996898099904976]",0.0035366404,"[0.0028986032, 0.004828516, 0.0031485145, 0.006115499, 0.0006920695]"
"(1, 11, 'sigmoid')",2020.6,"[10000, 30, 27, 23, 23]",0.18184090212322926,"[0.99975699645171, -0.024047793946482487, -0.024850026020664995, -0.024551801895484893, -0.01710286397293137]",0.037135966,"[0.0005938834, 0.046261862, 0.04898373, 0.0502109, 0.039629467]"
"(1, 11, 'softplus')",281.6,"[607, 396, 300, 47, 58]",0.9867387136436712,"[0.9875073846671522, 0.9914717304874734, 0.9926366760530616, 0.9785349987891024, 0.9835427782215663]",0.004988118,"[0.004258156, 0.0042217593, 0.0041520125, 0.0072676917, 0.0050409697]"
"(1, 11, 'tanh')",902.2,"[1728, 1125, 699, 919, 40]",0.9959523140080971,"[0.9994307074684685, 0.9993349664255728, 0.9993806853407481, 0.9994695638734165, 0.9821456469322793]",0.0019370246,"[0.0009089973, 0.0011789212, 0.0012041412, 0.0011424774, 0.0052505867]"
"(1, 12, 'elu')",1781.2,"[7206, 37, 1543, 39, 81]",0.9832713404817589,"[0.998902915661917, 0.966869037923503, 0.9988416198083542, 0.9700451031709173, 0.9816980258441028]",0.0050262534,"[0.0012618707, 0.008321086, 0.0016468242, 0.0085854875, 0.0053159976]"
"(1, 12, 'sigmoid')",804.4,"[1780, 25, 22, 19, 2176]",0.34687417480699156,"[0.9992590161590343, -0.10288877924487516, -0.08308463190573456, -0.07843250639126276, 0.9995177754177962]",0.03035602,"[0.0010370489, 0.048009686, 0.050356194, 0.051514268, 0.00086289993]"
"(1, 12, 'softplus')",378.4,"[536, 79, 542, 481, 254]",0.9892644584016811,"[0.9889961173432672, 0.9813249893165465, 0.9934049327694182, 0.9944413607500616, 0.9881548918291123]",0.004429646,"[0.00399639, 0.0062473156, 0.003929446, 0.003698412, 0.004276666]"
"(1, 12, 'tanh')",2234.8,"[3676, 692, 45, 2825, 3936]",0.9963209028677461,"[0.9995654553413925, 0.9993689093476851, 0.9831406198827894, 0.9997066419284382, 0.9998228878384254]",0.0019195667,"[0.0007941674, 0.0011484416, 0.0062826443, 0.0008496305, 0.0005229498]"
"(1, 13, 'elu')",1343.6,"[6175, 369, 49, 78, 47]",0.9889027220864511,"[0.9989675525029347, 0.9954685830872976, 0.984940774857929, 0.9849060018548292, 0.9802306981292654]",0.0043717385,"[0.0012241338, 0.0030773722, 0.005937765, 0.0060944315, 0.0055249897]"
"(1, 13, 'sigmoid')",475.4,"[2237, 25, 21, 18, 76]",0.3254709423715949,"[0.9992202810292147, -0.14000457909772934, -0.11460871203059231, -0.10298581918263694, 0.9857335411397184]",0.031549856,"[0.0010638096, 0.048810843, 0.051083766, 0.052097395, 0.004693468]"
"(1, 13, 'softplus')",974.6,"[464, 419, 283, 600, 3107]",0.9927887221432943,"[0.9885128341416496, 0.9926181580535562, 0.9927490774830019, 0.9948344994716423, 0.9952290415666222]",0.0036821156,"[0.0040832064, 0.003927764, 0.0041202004, 0.0035652276, 0.0027141797]"
"(1, 13, 'tanh')",523.4,"[60, 587, 328, 664, 978]",0.9960502283919105,"[0.9829702930700477, 0.9991365429940494, 0.9990368603083194, 0.9994701186031711, 0.9996373269839656]",0.001941362,"[0.004971626, 0.0013433321, 0.0015016417, 0.0011418798, 0.00074833044]"
