hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(2, 11, 'softplus')",1761.4,"[13, 4365, 2289, 1023, 1117]",0.8339937814730103,"[0.17338604683164738, 0.999462716184171, 0.9994940616308687, 0.9990190632426524, 0.9986070194757111]",0.013384166,"[0.059509046, 0.0014401312, 0.0015108525, 0.0020273156, 0.0024334858]"
"(2, 11, 'tanh')",2186.6,"[7187, 1786, 137, 146, 1677]",0.9988549621944556,"[0.9998538006059562, 0.9996381673861958, 0.9975490296013338, 0.9981503830324284, 0.999083430346363]",0.0020112835,"[0.0007914152, 0.0011818274, 0.0033253878, 0.0027838238, 0.0019739633]"
"(2, 12, 'elu')",2552.6,"[1601, 6833, 1755, 224, 2350]",0.9990744637065914,"[0.9997027701955224, 0.9996267480003108, 0.9996492142083125, 0.9972086726193288, 0.9991849135094827]",0.0017736263,"[0.0011284383, 0.0012003317, 0.0012580394, 0.0034198435, 0.0018614789]"
"(2, 12, 'sigmoid')",2015.4,"[23, 20, 18, 16, 10000]",0.23892875747778927,"[0.07193545026831205, 0.057129471770464235, 0.034296063631255924, 0.032123636529287514, 0.9991591651896267]",0.050992757,"[0.06305517, 0.060329016, 0.0660078, 0.06368113, 0.0018906522]"
"(2, 12, 'softplus')",2253.2,"[15, 13, 1715, 4850, 4673]",0.587647771270566,"[-0.047446515883684315, -0.012369102541712751, 0.999418776859125, 0.999566327276002, 0.9990693706431002]",0.026891476,"[0.06698808, 0.0625129, 0.001619365, 0.0013479751, 0.0019890452]"
"(2, 12, 'tanh')",2221.4,"[1614, 8426, 142, 779, 146]",0.9986249690772411,"[0.9996578675474066, 0.9997378890435262, 0.9967707124225363, 0.9994306535717946, 0.9975277228009415]",0.0021640067,"[0.0012106784, 0.0010058722, 0.0038170393, 0.0015445043, 0.0032419395]"
"(2, 13, 'elu')",3052.0,"[224, 6635, 142, 1171, 7088]",0.9987064808343454,"[0.9972559620138463, 0.999688059398611, 0.9977255747654808, 0.9997121332397554, 0.9991506747540342]",0.0021455602,"[0.0034286778, 0.0010973272, 0.0032033848, 0.0010982383, 0.0019001737]"
"(2, 13, 'sigmoid')",26.4,"[20, 18, 16, 15, 63]",0.18310987716735663,"[-0.013207228650231606, -0.010773616624210502, -0.008132799851231054, -0.004876634777710498, 0.9525396657401668]",0.054976255,"[0.06588412, 0.06246362, 0.06744227, 0.06488693, 0.0142043615]"
"(2, 13, 'softplus')",1247.0,"[15, 14, 13, 3873, 2320]",0.24963449872379045,"[-0.234549363226203, -0.2502493467519593, -0.26504886169630226, 0.9994090818630889, 0.998610983430328]",0.044349547,"[0.072725356, 0.0694702, 0.075548686, 0.0015734918, 0.002430021]"
"(2, 13, 'tanh')",1881.8,"[890, 162, 6814, 130, 1413]",0.9990608196723553,"[0.9995999198897016, 0.9984696979142116, 0.9999010151880648, 0.9982141015734298, 0.9991193637963682]",0.0018156546,"[0.0013091974, 0.0024304618, 0.0006682786, 0.0027354527, 0.0019348825]"
"(2, 14, 'elu')",1097.4,"[1712, 2241, 373, 991, 170]",0.9989510060143081,"[0.9994514165028093, 0.9995342567578342, 0.9990444813275907, 0.9996298856948084, 0.9970949897884983]",0.0019419391,"[0.0015330383, 0.0013408293, 0.0020763134, 0.0012452852, 0.0035142298]"
"(2, 14, 'sigmoid')",17.2,"[21, 19, 17, 15, 14]",0.015323222973939865,"[0.01952329034512823, 0.025715351022121746, 0.00809749198000742, 0.013374430721244668, 0.00990555080119726]",0.064441346,"[0.06481123, 0.06132579, 0.066897176, 0.06429497, 0.06487758]"
"(2, 14, 'softplus')",312.4,"[16, 14, 13, 13, 1506]",0.10287678480282292,"[-0.17571164783209814, -0.11714978405161358, -0.12627035351715254, -0.06519625058633483, 0.9987119600013137]",0.05541399,"[0.07097118, 0.06566832, 0.07128442, 0.066806026, 0.0023400274]"
"(2, 14, 'tanh')",1167.8,"[2910, 1573, 1094, 155, 107]",0.9990767434257783,"[0.9997539112375924, 0.999585120407522, 0.999743919620009, 0.9987519514697971, 0.9975488143939711]",0.0017763961,"[0.0010267802, 0.0012654973, 0.0010748835, 0.0022867387, 0.0032280807]"
"(2, 15, 'elu')",2807.4,"[1018, 7946, 1089, 2129, 1855]",0.9995398392098735,"[0.9994132058659003, 0.9997202981253589, 0.999638923714732, 0.9998011831313915, 0.9991255852119852]",0.0013483402,"[0.0015855301, 0.0010390774, 0.0012763587, 0.00091269874, 0.0019280355]"
"(2, 15, 'sigmoid')",17.6,"[21, 19, 17, 16, 15]",0.05201020606466593,"[0.06393209146240408, 0.0670108217314408, 0.04726311820929774, 0.047317507373065726, 0.034527491547121314]",0.06322936,"[0.06332648, 0.060012054, 0.06556314, 0.063179314, 0.0640658]"
"(2, 15, 'softplus')",13.4,"[16, 14, 13, 12, 12]",-0.03423487738211541,"[-0.11024269592037061, -0.011902828155986533, -0.02924536406056233, -0.0003217277901108595, -0.019461770983546733]",0.066036515,"[0.06896688, 0.062498502, 0.068144806, 0.064739704, 0.06583271]"
"(2, 15, 'tanh')",1856.2,"[419, 91, 6879, 479, 1413]",0.9989207857448269,"[0.9993581113461248, 0.9966528547113027, 0.9998742315470013, 0.9995870455878515, 0.9991316855318548]",0.0018485502,"[0.0016582938, 0.0035944916, 0.00075328466, 0.001315382, 0.0019212983]"
"(2, 16, 'elu')",589.8,"[16, 1529, 16, 1196, 192]",0.8683324789005444,"[0.390512040251596, 0.9995439820110115, 0.9537815637598919, 0.9997506410558958, 0.9980741674243271]",0.014149976,"[0.05109921, 0.0013267564, 0.0144404555, 0.0010221469, 0.0028613142]"
"(2, 16, 'sigmoid')",18.0,"[21, 20, 18, 16, 15]",0.061696439186070304,"[0.08678245882244995, 0.08172784343015227, 0.05035149622961166, 0.04812430622703667, 0.041496091221100984]",0.062905826,"[0.062548764, 0.05953686, 0.06545679, 0.06315256, 0.063834175]"
"(2, 16, 'softplus')",13.0,"[15, 14, 13, 12, 11]",0.23074203721317824,"[0.12459057301710197, 0.22154325637653616, 0.2255617340749374, 0.31129349642676307, 0.27072112617055255]",0.056913324,"[0.061240293, 0.054817274, 0.05911078, 0.053717766, 0.055680495]"
"(2, 16, 'tanh')",1229.6,"[19, 2932, 1604, 253, 1340]",0.8239413540575009,"[0.12229907063765844, 0.9996307520542455, 0.9997551653536453, 0.9989036971532824, 0.9991180850886734]",0.013528958,"[0.06132039, 0.001193876, 0.001051017, 0.0021432168, 0.0019362868]"
