hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(2, 7, 'softplus')",3681.2,"[2703, 2875, 9546, 1645, 1637]",0.9994320793535341,"[0.9994561258057315, 0.9995336601285614, 0.9998153855788714, 0.9994677029385202, 0.9988875223159857]",82.79961,"[82.813866, 75.98851, 50.238712, 84.65173, 120.305214]"
"(2, 7, 'tanh')",1708.6,"[2543, 1451, 394, 4093, 62]",0.997801023738553,"[0.9996160143745112, 0.9991621286453455, 0.9987465906955569, 0.999617918096922, 0.9918624668804285]",139.88779,"[69.58431, 101.855705, 130.90376, 71.71946, 325.37573]"
"(2, 8, 'elu')",3226.8,"[2317, 330, 2290, 10000, 1197]",0.9993881157547279,"[0.9996544399686524, 0.9990937188512912, 0.9993590448055998, 0.999742113858728, 0.9990912612893676]",86.64123,"[66.01089, 105.93224, 93.60941, 58.92136, 108.73224]"
"(2, 8, 'sigmoid')",3827.2,"[830, 10000, 2455, 673, 5178]",0.998766613256341,"[0.9975934165648077, 0.9994155404928237, 0.9992292871327241, 0.9981834858696099, 0.9994113362217397]",121.16244,"[174.20245, 85.069496, 102.648346, 156.3789, 87.51298]"
"(2, 8, 'softplus')",4116.0,"[5538, 10000, 2413, 1305, 1324]",0.9996916296591675,"[0.9998106746635096, 0.9998809808713373, 0.9996799978726735, 0.999495497116851, 0.9995909977714663]",61.75004,"[48.86053, 38.388847, 66.14273, 82.412025, 72.94603]"
"(2, 8, 'tanh')",3647.0,"[865, 1924, 3754, 10000, 1692]",0.9996236362654434,"[0.9996620166866663, 0.9994670612404388, 0.9996975712940481, 0.9998526602965182, 0.9994388718095455]",68.159225,"[65.2832, 81.233536, 64.30092, 44.536766, 85.441696]"
"(2, 9, 'elu')",621.0,"[1000, 1001, 355, 362, 387]",0.999165605217468,"[0.9994580197166303, 0.9995883604915894, 0.9989853008746686, 0.9990619978476704, 0.9987343471567808]",102.50728,"[82.66955, 71.39293, 117.780754, 112.372665, 128.32053]"
"(2, 9, 'sigmoid')",2746.2,"[3505, 2196, 2050, 2738, 3242]",0.9992330935334607,"[0.9993524421794523, 0.9993397310557531, 0.9989072350221896, 0.9991263602558418, 0.999439699154067]",99.36741,"[90.36351, 90.41846, 122.22753, 108.44885, 85.378685]"
"(2, 9, 'softplus')",4540.0,"[4800, 10000, 2723, 2200, 2977]",0.9997960475232828,"[0.9997193034000548, 0.9998571847075016, 0.999801572523573, 0.9997651533687782, 0.9998370236165065]",51.180935,"[59.493893, 42.051746, 52.084267, 56.22778, 46.046978]"
"(2, 9, 'tanh')",4222.8,"[3596, 1427, 10000, 3737, 2354]",0.9997925246472201,"[0.9998726397558388, 0.9996380268360066, 0.9998721198010552, 0.9998458554617294, 0.9997339813814701]",50.6436,"[40.074745, 66.94757, 41.812614, 45.553616, 58.829456]"
"(2, 10, 'elu')",2912.2,"[3231, 3513, 117, 4752, 2948]",0.9993458308177635,"[0.9997664057432322, 0.9995444034774588, 0.9978847737396311, 0.9997717342541842, 0.9997618368743112]",82.10655,"[54.273132, 75.108116, 170.05292, 55.434376, 55.664215]"
"(2, 10, 'sigmoid')",5833.4,"[10000, 9121, 5516, 3135, 1395]",0.9995755615793985,"[0.9998638100250491, 0.9997929558735615, 0.9994524443834402, 0.9994417414955457, 0.9993268561193969]",71.773445,"[41.440636, 50.632355, 86.52065, 86.69149, 93.58209]"
"(2, 10, 'softplus')",4347.0,"[7331, 10000, 1133, 3212, 59]",0.9959360931698512,"[0.9998727133743422, 0.9998971409774835, 0.9993491378290815, 0.999708807198131, 0.9808526664702174]",146.35957,"[40.06316, 35.687645, 94.33008, 62.610775, 499.1062]"
"(2, 10, 'tanh')",3014.4,"[5262, 3385, 3587, 1245, 1593]",0.9997669680603728,"[0.9998270699543466, 0.9998390289582894, 0.9998760353311598, 0.9995849043410394, 0.9997078017170291]",53.783875,"[46.697006, 44.644768, 41.167515, 74.75373, 61.65633]"
"(2, 11, 'elu')",3187.6,"[1414, 6791, 3251, 2130, 2352]",0.9998438516507007,"[0.999772515576012, 0.9999010035200558, 0.9999167349951503, 0.9997726808591898, 0.9998563233030952]",44.17263,"[53.558655, 35.01116, 33.739365, 55.319313, 43.234653]"
"(2, 11, 'sigmoid')",5782.2,"[4797, 4513, 7358, 10000, 2243]",0.9997311559346276,"[0.9998572303070473, 0.9997097108629525, 0.999802299872359, 0.9998715334432169, 0.9994150051875621]",56.63965,"[42.429882, 59.95316, 51.98872, 41.58664, 87.23983]"
"(2, 11, 'softplus')",5422.8,"[4323, 8702, 10000, 2482, 1607]",0.9998185698326962,"[0.9997957424197887, 0.9999454828438882, 0.9999379079932905, 0.9997751219662783, 0.9996385939402356]",45.891933,"[50.7508, 25.981443, 29.135572, 55.02148, 68.57037]"
"(2, 11, 'tanh')",2440.4,"[4044, 2735, 2479, 276, 2668]",0.9998097603200573,"[0.9999285459853285, 0.9998985702773819, 0.9998665440844042, 0.9995051684165551, 0.9998499728366168]",46.79367,"[30.01699, 35.438824, 42.714428, 81.61829, 44.179802]"
"(2, 12, 'elu')",3860.4,"[6620, 7401, 4030, 384, 867]",0.999787162124939,"[0.9998914217643178, 0.9999047314940489, 0.999922782050121, 0.9995590646878076, 0.9996578106283999]",49.521305,"[37.002, 34.34562, 32.49113, 77.04531, 66.72246]"
"(2, 12, 'sigmoid')",7976.8,"[10000, 10000, 6469, 3456, 9959]",0.9998088430594256,"[0.9999064765882685, 0.9998714719288468, 0.9998137756676416, 0.999626237718806, 0.9998262533935652]",48.63395,"[34.341084, 39.892906, 50.45729, 70.93433, 47.544136]"
"(2, 12, 'softplus')",5936.8,"[10000, 9739, 6136, 2252, 1557]",0.9998736783106196,"[0.9999478892435523, 0.9999306008307949, 0.9999247186086135, 0.9998426708802435, 0.9997225119898939]",38.627033,"[25.634068, 29.313915, 32.08112, 46.02177, 60.084286]"
