MAE_train,MSE_train,RMSE_train,R2_train,MAE_test,MSE_test,RMSE_test,R2_test
24.751003,1048.4829,32.380287,0.9999196737647121,25.414421,1164.2115,34.120544,0.9999008476181489
19.85094,724.9097,26.924149,0.999944463315943,22.642445,971.2529,31.16493,0.9999172813185299
27.689766,1320.312,36.336098,0.9998988484233832,31.683287,1720.8257,41.482838,0.9998534424636603
20.043707,708.79285,26.623163,0.9999456980580329,21.432148,860.19794,29.329132,0.9999267395368363
22.299091,935.1938,30.580938,0.9999283530554857,24.584904,1146.5789,33.86117,0.9999023493313316
