Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
104,8,0.6,4,1,0.994862975,7556.04145,FALSE
105,8,0.6,4,2,0.994494718,11588.1999,FALSE
106,8,0.6,4,3,0.993601172,14326.7159,FALSE
107,8,0.6,4,4,0.98926443,14442.8884,FALSE
108,8,0.6,4,5,0.977777632,14823.9107,FALSE
109,8,0.6,4,6,0.953866597,14861.7848,FALSE
110,8,0.6,4,7,0.919752821,14697.2094,FALSE
111,8,0.6,4,8,0.88023127,14421.156,FALSE
112,8,0.6,4.5,1,0.994800651,7799.87205,FALSE
113,8,0.6,4.5,2,0.994267609,12067.7682,FALSE
114,8,0.6,4.5,3,0.993123608,15027.5001,FALSE
115,8,0.6,4.5,4,0.966546085,1011.85952,TRUE
116,8,0.6,4.5,5,0.977899839,15939.0177,FALSE
117,8,0.6,4.5,6,0.957669592,16221.9007,FALSE
118,8,0.6,4.5,7,0.929098475,16337.3621,FALSE
119,8,0.6,4.5,8,0.895545407,16356.6451,FALSE
120,8,0.6,5,1,0.994721301,8027.44242,FALSE
121,8,0.6,5,2,0.993996527,12511.9252,FALSE
122,8,0.6,5,3,0.968187313,7032.619,TRUE
123,8,0.6,5,4,0.987472578,16190.8631,FALSE
124,8,0.6,5,5,0.97732801,16975.2619,FALSE
125,8,0.6,5,6,0.959387054,17471.9893,FALSE
126,8,0.6,5,7,0.93477554,17827.4998,FALSE
127,8,0.6,5,8,0.905768107,18100.5244,FALSE
128,8,0.6,5.5,1,0.994609583,8244.63343,FALSE
129,8,0.6,5.5,2,0.99366563,12928.54,FALSE
130,8,0.6,5.5,3,0.991924011,16284.1238,FALSE
131,8,0.6,5.5,4,0.986341183,16979.5441,FALSE
132,8,0.6,5.5,5,0.97632539,17946.0015,FALSE
133,8,0.6,5.5,6,0.95984162,18636.8333,FALSE
134,8,0.6,5.5,7,0.937886026,19203.2559,FALSE
135,8,0.6,5.5,8,0.912184557,19698.3092,FALSE
136,8,0.6,6,1,0.994471317,8450.3354,FALSE
137,8,0.6,6,2,0.994960285,17180.0069,TRUE
138,8,0.6,6,3,0.991188112,16856.0559,FALSE
139,8,0.6,6,4,0.985060679,17722.735,FALSE
140,8,0.6,6,5,0.974956963,18860.8343,FALSE
141,8,0.6,6,6,0.959420324,19731.6021,FALSE
142,8,0.6,6,7,0.939231372,20488.5481,FALSE
143,8,0.6,6,8,0.916033982,21183.66,FALSE
144,8,0.8,3.5,1,0.994939289,7564.39291,FALSE
145,8,0.8,3.5,2,0.994761319,11335.1712,FALSE
146,8,0.8,3.5,3,0.994361565,13817.0058,FALSE
147,8,0.8,3.5,4,0.992449925,13689.8521,FALSE
148,8,0.8,3.5,5,0.986533805,13887.4276,FALSE
149,8,0.8,3.5,6,0.727274792,-2488.64778,TRUE
150,8,0.8,3.5,7,0.682433496,-10770.1814,TRUE
151,8,0.8,3.5,8,0.90324041,13029.2277,FALSE
152,8,0.8,4,1,0.99489838,7826.02644,FALSE
153,8,0.8,4,2,0.994619022,11855.4884,FALSE
154,8,0.8,4,3,0.994027968,14587.3318,FALSE
155,8,0.8,4,4,0.991659313,14692.6494,FALSE
156,8,0.8,4,5,0.985855652,15105.2919,FALSE
157,8,0.8,4,6,0.9725223,15254.0118,FALSE
158,8,0.8,4,7,0.949621266,15237.0895,FALSE
159,8,0.8,4,8,0.919591898,15106.6446,FALSE
160,8,0.8,4.5,1,0.994846734,8066.74171,FALSE
161,8,0.8,4.5,2,0.994455067,12329.9057,FALSE
162,8,0.8,4.5,3,0.993680101,15286.669,FALSE
163,8,0.8,4.5,4,0.955684318,-2479.33049,TRUE
164,8,0.8,4.5,5,0.985141661,16222.6151,FALSE
165,8,0.8,4.5,6,0.973422132,16585.3837,FALSE
166,8,0.8,4.5,7,0.954481958,16813.577,FALSE
167,8,0.8,4.5,8,0.929788935,16953.8988,FALSE
168,8,0.8,5,1,0.994779657,8292.09432,FALSE
169,8,0.8,5,2,0.994248868,12771.2443,FALSE
170,8,0.8,5,3,0.994687541,19557.1959,TRUE
171,8,0.8,5,4,0.990110322,16452.7516,FALSE
172,8,0.8,5,5,0.98413717,17263.087,FALSE
173,8,0.8,5,6,0.973231802,17822.0672,FALSE
174,8,0.8,5,7,0.956748752,18263.7143,FALSE
175,8,0.8,5,8,0.935717363,18636.6074,FALSE
176,8,0.8,5.5,1,0.994695421,8504.25837,FALSE
177,8,0.8,5.5,2,0.993997878,13185.359,FALSE
178,8,0.8,5.5,3,0.992765887,16543.9154,FALSE
179,8,0.8,5.5,4,0.989158249,17246.7218,FALSE
180,8,0.8,5.5,5,0.982901094,18238.4768,FALSE
181,8,0.8,5.5,6,0.972399663,18980.5541,FALSE
182,8,0.8,5.5,7,0.9574553,19616.0747,FALSE
183,8,0.8,5.5,8,0.938805896,20194.5933,FALSE
184,8,0.8,6,1,0.994591278,8705.27013,FALSE
185,8,0.8,6,2,0.994626451,23229.2802,TRUE
186,8,0.8,6,3,0.992187868,17116.8216,FALSE
187,8,0.8,6,4,0.988086639,17994.469,FALSE
188,8,0.8,6,5,0.981463066,19158.2684,FALSE
189,8,0.8,6,6,0.971090722,20072.9978,FALSE
190,8,0.8,6,7,0.957111647,20888.2544,FALSE
191,8,0.8,6,8,0.940015956,21653.3058,FALSE
192,8,1,3.5,1,0.994952445,7842.25607,FALSE
193,8,1,3.5,2,0.994819648,11604.6406,FALSE
194,8,1,3.5,3,0.994534776,14081.0627,FALSE
195,8,1,3.5,4,0.993367467,13940.2267,FALSE
196,8,1,3.5,5,0.990225378,14135.9272,FALSE
197,8,1,3.5,6,0.98165429,14110.5086,FALSE
198,8,1,3.5,7,0.762630078,-13867.9046,TRUE
199,8,1,3.5,8,0.935134465,13627.9094,FALSE
200,8,1,4,1,0.994919657,8098.8134,FALSE
201,8,1,4,2,0.994707079,12121.3964,FALSE
202,8,1,4,3,0.994275803,14850.8317,FALSE
203,8,1,4,4,0.992738238,14949.2032,FALSE
204,8,1,4,5,0.989618675,15339.9646,TRUE
205,8,1,4,6,0.981609221,15556.9341,FALSE
206,8,1,4,7,0.967200395,15631.9621,FALSE
207,8,1,4,8,0.945568471,15611.4856,FALSE
208,8,1,4.5,1,0.994879092,8334.66458,FALSE
209,8,1,4.5,2,0.994577084,12592.3894,FALSE
210,8,1,4.5,3,0.994002135,15549.0177,FALSE
211,8,1,4.5,4,0.941144719,12171.5952,TRUE
212,8,1,4.5,5,0.988492716,16491.4193,FALSE
213,8,1,4.5,6,0.981253932,16885.6805,FALSE
214,8,1,4.5,7,0.968986356,17178.7705,FALSE
215,8,1,4.5,8,0.951442123,17401.4437,FALSE
216,8,1,5,1,0.994826084,8555.36033,FALSE
217,8,1,5,2,0.994413226,13031.5877,FALSE
218,8,1,5,3,0.994230758,-7606.19254,TRUE
219,8,1,5,4,0.991468683,16716.0876,FALSE
220,8,1,5,5,0.987503452,17537.4037,FALSE
221,8,1,5,6,0.980399509,18124.0965,FALSE
222,8,1,5,7,0.969304151,18615.4846,FALSE
223,8,1,5,8,0.954258185,19050.8558,FALSE
224,8,1,5.5,1,0.994759359,8763.21401,FALSE
225,8,1,5.5,2,0.994210844,13443.6036,FALSE
226,8,1,5.5,3,0.993266535,16805.9772,FALSE
227,8,1,5.5,4,0.990679728,17513.6335,FALSE
228,8,1,5.5,5,0.98635582,18517.9483,FALSE
229,8,1,5.5,6,0.979191358,19285.7833,FALSE
230,8,1,5.5,7,0.968719105,19961.964,FALSE
231,8,1,5.5,8,0.955245358,20590.1926,FALSE
232,8,1,6,1,0.994673032,8961.43284,FALSE
233,8,1,6,2,0.994800554,19319.3899,TRUE
234,8,1,6,3,0.992794135,17379.2831,FALSE
235,8,1,6,4,0.989782562,18264.5069,FALSE
236,8,1,6,5,0.985056111,19442.5873,FALSE
237,8,1,6,6,0.977693062,20381.732,FALSE
238,8,1,6,7,0.967527822,21231.2595,FALSE
239,8,1,6,8,0.954976152,22039.517,FALSE
240,8,1.2,3.5,1,0.994961545,8121.14298,FALSE
