hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 14, 'sigmoid')",615.8,"[1085, 794, 488, 397, 315]",0.9685872596624719,"[0.957773093630284, 0.9769320078025051, 0.9706885786050686, 0.9689567167998546, 0.9685859014746471]",0.021778548,"[0.024995217, 0.019537847, 0.020135172, 0.019665528, 0.024558976]"
"(1, 14, 'softplus')",2396.4,"[989, 10000, 470, 333, 190]",0.9696666120966922,"[0.9735897736361977, 0.9845253931287037, 0.9583940644121544, 0.9600919491048105, 0.9717318802015947]",0.02107057,"[0.019767346, 0.016002271, 0.023989134, 0.022297287, 0.023296807]"
"(1, 14, 'tanh')",530.8,"[396, 462, 276, 580, 940]",0.9551163179032578,"[0.9442419924480112, 0.9506563005065266, 0.9464403866274056, 0.9673639196150875, 0.9668789903192584]",0.025979245,"[0.028722083, 0.028575096, 0.027217964, 0.020163724, 0.025217365]"
"(1, 15, 'elu')",354.6,"[561, 653, 37, 291, 231]",0.8192483901775844,"[0.9655901371382408, 0.9634121987559492, 0.2767690081501013, 0.940650490984955, 0.9498201158586762]",0.041083474,"[0.02256336, 0.024605941, 0.100017376, 0.027191324, 0.03103936]"
"(1, 15, 'sigmoid')",758.4,"[1229, 873, 429, 599, 662]",0.9627812090549348,"[0.9572747786971214, 0.9661851265865834, 0.9506105578896386, 0.9709433675756678, 0.9688922145256627]",0.023679823,"[0.025142267, 0.023655148, 0.026136894, 0.019025866, 0.024438947]"
"(1, 15, 'softplus')",508.6,"[1109, 714, 243, 276, 201]",0.9639362592121703,"[0.9744217597198066, 0.972307589272152, 0.9408937576286076, 0.9607984263366292, 0.9712597631036559]",0.023008501,"[0.019453494, 0.021406822, 0.028592596, 0.022099046, 0.023490546]"
"(1, 15, 'tanh')",378.0,"[545, 331, 38, 348, 628]",0.9004400298610795,"[0.953864225987034, 0.9459829409480855, 0.6826053759821656, 0.9548954331356768, 0.9648521732524353]",0.034392796,"[0.026126498, 0.029897667, 0.06625775, 0.023704568, 0.025977489]"
"(1, 16, 'elu')",416.0,"[401, 890, 32, 340, 417]",0.8009765412498113,"[0.959453586187795, 0.9776325548960084, 0.14174527503533663, 0.9583145499252946, 0.9677367402046216]",0.040072653,"[0.024492806, 0.019238891, 0.10895447, 0.022788411, 0.024888692]"
"(1, 16, 'sigmoid')",640.8,"[993, 1055, 386, 436, 334]",0.9623597477568246,"[0.946431430796153, 0.9703719142401391, 0.9616820168125018, 0.9697792436527715, 0.9635341332825579]",0.02383599,"[0.028152524, 0.022142345, 0.023021746, 0.019403249, 0.026460083]"
"(1, 16, 'softplus')",596.8,"[1544, 891, 36, 322, 191]",0.8599903299501703,"[0.9746754918795963, 0.9756115271007376, 0.4222639591025986, 0.9617848152553717, 0.965615856412547]",0.035270326,"[0.019356767, 0.020089269, 0.08939262, 0.021819249, 0.025693724]"
