Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T2 RR_T2 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR TimeCost 
0 80 5.48955366706931 3.5000269020417702 3.3402197101686504 11 0.7152320022562986 3.502048667418724 0.999020687 0.0009788731 21221.2707 0.998618164 0.99993967 12915.0798 True False 2.551562547683716 
1 80 5.827072322336992 3.5000933092886837 2.3441683256709505 12 0.46217087688485886 3.5011498060302397 0.993699446 0.00630022058 16035.5702 0.974877993 0.996775856 15173.9799 True True 1.423882007598877 
2 80 5.587729871149772 3.5012994841808602 3.0583302569297786 11 0.5744119202706967 3.500408781049789 0.998471528 0.00152806229 19335.0095 0.998102048 0.999939511 12812.2589 True False 1.4752991199493408 
3 80 5.589308796477736 3.504633805406802 2.791016206390039 11 0.5244837482538499 3.500878338105853 0.997483238 0.0025163752 17857.7856 0.997156354 0.999941345 12407.4493 True False 1.406416893005371 
4 80 5.744446543733488 3.500146894181951 2.7418765634255378 12 0.5176932837686179 3.503149331345853 0.997319625 0.0026800027 17809.7534 0.997214312 0.999980721 12269.504 True False 1.4591608047485352 
5 80 5.754717297513643 3.5016831820780285 3.2689818761253275 11 0.6579541745223858 3.500840197173608 0.998945859 0.00105372318 20962.9689 0.998546961 0.999938912 12966.7909 True False 1.455211877822876 
6 80 5.456647016350403 3.5047686667801328 3.0321932695028826 12 0.601644201929951 3.5008513392303637 0.998356963 0.00164262107 19005.71 0.998257685 0.999983557 12743.9419 True False 1.5258889198303223 
7 80 5.5972581022772 3.5020099639489715 2.9043667703806717 11 0.6000233041878675 3.50070612657269 0.997983276 0.00201632804 18473.5844 0.997740007 0.999958037 12652.7505 True False 1.4702613353729248 
8 80 6.133145043980572 3.502869930140191 2.4399125766419596 11 0.4631784253448593 3.5004468421015953 0.995291297 0.00470837351 16894.5746 0.995029084 0.999946156 11652.008 True False 1.4584956169128418 
9 80 6.085591229438658 3.502484079750775 2.4212527187174357 11 0.46545156070060356 3.5021834174403574 0.995044915 0.00495475488 16743.0541 0.994794349 0.999948146 11614.3409 True False 1.5128612518310547 
10 80 5.593917030916111 3.5059810096175843 2.9242008832337603 12 0.6059061902002112 3.500408781049789 0.998053008 0.00194659325 18586.1879 0.997983732 0.999988084 12617.4916 True False 1.4683878421783447 
11 80 6.085303690269115 3.5000521177210473 2.3367365757077305 12 0.46258654147155676 3.500112446736332 0.993987037 0.00601264169 16360.5119 0.993984933 0.999999481 11289.2369 True True 1.4606103897094727 
